date,open,high,low,close,volume,oi
2025-01-01 09:15:00+05:30,7320,7340,7300.4,7316.8,2510,
2025-01-01 09:16:00+05:30,7316.85,7350,7316.8,7350,1053,
2025-01-01 09:17:00+05:30,7347.3,7366.35,7337.8,7347.35,3266,
2025-01-01 09:18:00+05:30,7345,7367.9,7345,7367.9,2639,
2025-01-01 09:19:00+05:30,7367.75,7370,7350,7358.45,2029,
2025-01-01 09:20:00+05:30,7358.65,7365,7351.2,7365,1725,
2025-01-01 09:21:00+05:30,7365,7365,7343.05,7354.2,1491,
2025-01-01 09:22:00+05:30,7354.2,7375.95,7354.2,7375.95,2088,
2025-01-01 09:23:00+05:30,7372.5,7376.95,7357.95,7370.25,2514,
2025-01-01 09:24:00+05:30,7370.9,7373.95,7359.25,7369.9,2371,
2025-01-01 09:25:00+05:30,7374,7380.2,7364.4,7380.2,1579,
2025-01-01 09:26:00+05:30,7380.95,7381.4,7370.3,7379.95,2373,
2025-01-01 09:27:00+05:30,7379.95,7389,7378.5,7387.55,2347,
2025-01-01 09:28:00+05:30,7387,7388,7379.55,7386,2290,
2025-01-01 09:29:00+05:30,7387,7391.5,7382.8,7386.7,2713,
2025-01-01 09:30:00+05:30,7388.2,7389.75,7376.2,7385.75,2389,
2025-01-01 09:31:00+05:30,7381.45,7401.85,7380.05,7401.6,6121,
2025-01-01 09:32:00+05:30,7398.8,7403.55,7394.85,7399.85,2835,
2025-01-01 09:33:00+05:30,7400,7410,7399,7407.1,4618,
2025-01-01 09:34:00+05:30,7407.05,7407.9,7398,7405,1892,
2025-01-01 09:35:00+05:30,7405,7405,7392.15,7398.25,2674,
2025-01-01 09:36:00+05:30,7397.4,7397.8,7378.9,7386.65,1846,
2025-01-01 09:37:00+05:30,7389.9,7394.15,7385.25,7390.5,902,
2025-01-01 09:38:00+05:30,7391.85,7405,7390.45,7401.25,1687,
2025-01-01 09:39:00+05:30,7401.25,7405,7396,7405,972,
2025-01-01 09:40:00+05:30,7405,7406.95,7396.9,7403,1415,
2025-01-01 09:41:00+05:30,7403,7405,7400.45,7404.75,560,
2025-01-01 09:42:00+05:30,7405,7414.4,7403,7409.95,4888,
2025-01-01 09:43:00+05:30,7410,7413,7387.95,7387.95,3146,
2025-01-01 09:44:00+05:30,7387.95,7397.15,7385.25,7396,1776,
2025-01-01 09:45:00+05:30,7396,7402.95,7394.35,7399,981,
2025-01-01 09:46:00+05:30,7397,7399,7381.05,7389.95,3527,
2025-01-01 09:47:00+05:30,7389.95,7400,7384.3,7398.85,842,
2025-01-01 09:48:00+05:30,7398.85,7398.85,7385.7,7395,1286,
2025-01-01 09:49:00+05:30,7391.8,7394,7385,7394,284,
2025-01-01 09:50:00+05:30,7394,7395.95,7383,7388.9,1586,
2025-01-01 09:51:00+05:30,7385.35,7390,7385,7390,572,
2025-01-01 09:52:00+05:30,7389.05,7394.4,7388,7392,563,
2025-01-01 09:53:00+05:30,7392,7396,7390.55,7394.25,538,
2025-01-01 09:54:00+05:30,7394.25,7398,7392.2,7396.1,588,
2025-01-01 09:55:00+05:30,7395.5,7396.1,7390.15,7392.25,314,
2025-01-01 09:56:00+05:30,7390.2,7392.25,7386,7390,481,
2025-01-01 09:57:00+05:30,7390,7392.1,7386.55,7392.1,453,
2025-01-01 09:58:00+05:30,7392.1,7394.05,7390.3,7393.3,433,
2025-01-01 09:59:00+05:30,7393.3,7394.05,7391,7393.3,323,
2025-01-01 10:00:00+05:30,7396,7396,7386.6,7394.05,982,
2025-01-01 10:01:00+05:30,7394.05,7394.05,7387.2,7392.15,364,
2025-01-01 10:02:00+05:30,7392.15,7393.2,7383,7387.25,1705,
2025-01-01 10:03:00+05:30,7387.15,7388,7381,7385.95,422,
2025-01-01 10:04:00+05:30,7383.55,7387.6,7383,7385,497,
2025-01-01 10:05:00+05:30,7385,7386.35,7382,7386,263,
2025-01-01 10:06:00+05:30,7386.35,7390,7385.1,7390,416,
2025-01-01 10:07:00+05:30,7390,7390,7386.1,7386.1,290,
2025-01-01 10:08:00+05:30,7389.95,7390,7385,7385,358,
2025-01-01 10:09:00+05:30,7385,7389,7382,7384.9,491,
2025-01-01 10:10:00+05:30,7384.9,7389,7382,7388.95,642,
2025-01-01 10:11:00+05:30,7385.45,7390,7384.65,7390,566,
2025-01-01 10:12:00+05:30,7391.3,7398,7390,7393.1,881,
2025-01-01 10:13:00+05:30,7393.05,7398,7393,7394.9,641,
2025-01-01 10:14:00+05:30,7394.9,7395,7386.05,7395,611,
2025-01-01 10:15:00+05:30,7395,7395,7389.1,7393,205,
2025-01-01 10:16:00+05:30,7392.55,7395,7387.45,7395,254,
2025-01-01 10:17:00+05:30,7395,7399,7391,7397.15,2806,
2025-01-01 10:18:00+05:30,7398,7405,7394.6,7396.2,3397,
2025-01-01 10:19:00+05:30,7398,7401,7394.25,7399,1082,
2025-01-01 10:20:00+05:30,7399,7402.5,7396.1,7399,2769,
2025-01-01 10:21:00+05:30,7397.05,7399,7395,7397.55,223,
2025-01-01 10:22:00+05:30,7397.55,7398,7395,7398,325,
2025-01-01 10:23:00+05:30,7398,7398,7395,7395,423,
2025-01-01 10:24:00+05:30,7397,7398,7396,7397,203,
2025-01-01 10:25:00+05:30,7395,7397,7395,7396,676,
2025-01-01 10:26:00+05:30,7396,7397,7395,7396,147,
2025-01-01 10:27:00+05:30,7396,7396,7394,7396,185,
2025-01-01 10:28:00+05:30,7396,7397,7395,7396,132,
2025-01-01 10:29:00+05:30,7396,7397,7392.85,7396.15,479,
2025-01-01 10:30:00+05:30,7396.15,7397,7394,7395,177,
2025-01-01 10:31:00+05:30,7395,7406.6,7394.05,7406.6,1846,
2025-01-01 10:32:00+05:30,7406.6,7420,7406,7420,4020,
2025-01-01 10:33:00+05:30,7420,7429.95,7420,7426,4600,
2025-01-01 10:34:00+05:30,7428,7428,7418.05,7419.95,2499,
2025-01-01 10:35:00+05:30,7420,7424.8,7416.9,7423,1811,
2025-01-01 10:36:00+05:30,7423,7423.4,7414.45,7418.6,2300,
2025-01-01 10:37:00+05:30,7418.6,7419.45,7412.4,7412.65,674,
2025-01-01 10:38:00+05:30,7414.7,7414.85,7412.1,7414.8,449,
2025-01-01 10:39:00+05:30,7414.8,7417.95,7406,7406.6,1072,
2025-01-01 10:40:00+05:30,7409.4,7410.15,7401,7407.3,1090,
2025-01-01 10:41:00+05:30,7406.95,7408.45,7402.05,7407.5,658,
2025-01-01 10:42:00+05:30,7407.5,7407.55,7402.3,7406.85,365,
2025-01-01 10:43:00+05:30,7406.85,7407,7395,7396.95,2043,
2025-01-01 10:44:00+05:30,7397,7400,7390.05,7399,1020,
2025-01-01 10:45:00+05:30,7399,7399.8,7396.2,7399.55,265,
2025-01-01 10:46:00+05:30,7399.55,7407,7397,7407,667,
2025-01-01 10:47:00+05:30,7407,7407.5,7402,7404.45,549,
2025-01-01 10:48:00+05:30,7406.95,7407,7402.05,7403.55,234,
2025-01-01 10:49:00+05:30,7404,7406,7402,7406,463,
2025-01-01 10:50:00+05:30,7406,7408.8,7404.2,7408.55,803,
2025-01-01 10:51:00+05:30,7408.55,7408.55,7403.05,7407,314,
2025-01-01 10:52:00+05:30,7405.85,7406.95,7402,7406.6,343,
2025-01-01 10:53:00+05:30,7406.8,7406.9,7403,7405,209,
2025-01-01 10:54:00+05:30,7405,7416.4,7400.35,7416.4,2757,
2025-01-01 10:55:00+05:30,7416.25,7418.4,7412.5,7415,540,
2025-01-01 10:56:00+05:30,7411.95,7418,7411.4,7417.85,531,
2025-01-01 10:57:00+05:30,7420.95,7429.8,7417.7,7425.45,2218,
2025-01-01 10:58:00+05:30,7425.45,7428.2,7418.45,7424,809,
2025-01-01 10:59:00+05:30,7424,7425,7420,7425,890,
2025-01-01 11:00:00+05:30,7425,7426,7420,7425,1391,
2025-01-01 11:01:00+05:30,7425.55,7427,7421.6,7427,1044,
2025-01-01 11:02:00+05:30,7427,7429,7420.1,7420.1,1401,
2025-01-01 11:03:00+05:30,7423.7,7440,7420,7433.5,21257,
2025-01-01 11:04:00+05:30,7434.5,7444.2,7434.5,7444.2,4014,
2025-01-01 11:05:00+05:30,7444.2,7445,7437.45,7443,2453,
2025-01-01 11:06:00+05:30,7441,7442,7438.65,7440.15,900,
2025-01-01 11:07:00+05:30,7442,7442.95,7434.3,7442.6,2593,
2025-01-01 11:08:00+05:30,7442,7442,7438.05,7439.85,343,
2025-01-01 11:09:00+05:30,7439.8,7440,7432.55,7440,1509,
2025-01-01 11:10:00+05:30,7440,7441.95,7438.3,7438.3,1161,
2025-01-01 11:11:00+05:30,7438.3,7439,7429.95,7432.95,1796,
2025-01-01 11:12:00+05:30,7432,7432,7427,7429.95,738,
2025-01-01 11:13:00+05:30,7429.9,7430,7427,7430,396,
2025-01-01 11:14:00+05:30,7430,7440.3,7428.15,7439,1547,
2025-01-01 11:15:00+05:30,7439,7441.5,7435.1,7440.9,1285,
2025-01-01 11:16:00+05:30,7440.9,7441.75,7430.05,7437.6,1165,
2025-01-01 11:17:00+05:30,7437.6,7439.25,7431.9,7433,546,
