date,open,high,low,close,volume,oi
2021-01-01 09:15:00+05:30,531,532,530,532,267010,
2021-01-01 09:16:00+05:30,531.5,533,531,532,266610,
2021-01-01 09:17:00+05:30,531.5,532,531,532,97840,
2021-01-01 09:18:00+05:30,532,532.5,532,532,91280,
2021-01-01 09:19:00+05:30,532,533,532,532.5,125090,
2021-01-01 09:20:00+05:30,533,533,532,533,101970,
2021-01-01 09:21:00+05:30,533,533,532.5,532.5,205590,
2021-01-01 09:22:00+05:30,532.5,533,532,533,57660,
2021-01-01 09:23:00+05:30,533,533,532,532,153720,
2021-01-01 09:24:00+05:30,532,532,531.5,531.5,85020,
2021-01-01 09:25:00+05:30,532,532,531.5,532,49680,
2021-01-01 09:26:00+05:30,532,532.5,532,532,69980,
2021-01-01 09:27:00+05:30,532,532.5,532,532,29440,
2021-01-01 09:28:00+05:30,532.5,533,532,533,42710,
2021-01-01 09:29:00+05:30,533,533,532,533,28710,
2021-01-01 09:30:00+05:30,533,534,533,533.5,191830,
2021-01-01 09:31:00+05:30,533.5,534,532.5,533,121430,
2021-01-01 09:32:00+05:30,533,533,532.5,533,62330,
2021-01-01 09:33:00+05:30,533,533,532.5,533,37570,
2021-01-01 09:34:00+05:30,533,533,532.5,533,41280,
2021-01-01 09:35:00+05:30,533,533,532,532,143860,
2021-01-01 09:36:00+05:30,532,532,532,532,28850,
2021-01-01 09:37:00+05:30,531.5,532,531.5,532,107640,
2021-01-01 09:38:00+05:30,532,532,531.5,532,64340,
2021-01-01 09:39:00+05:30,532,532,532,532,38270,
2021-01-01 09:40:00+05:30,532,532,532,532,35340,
2021-01-01 09:41:00+05:30,532,532,532,532,17400,
2021-01-01 09:42:00+05:30,532,532.5,532,532,32510,
2021-01-01 09:43:00+05:30,532,532.5,532,532,32270,
2021-01-01 09:44:00+05:30,532,533,532,533,49270,
2021-01-01 09:45:00+05:30,533,533,532.5,533,49620,
2021-01-01 09:46:00+05:30,533,533,532,532.5,32740,
2021-01-01 09:47:00+05:30,532.5,533,532.5,533,12990,
2021-01-01 09:48:00+05:30,533,533,532.5,532.5,22790,
2021-01-01 09:49:00+05:30,532.5,533,532.5,532.5,21940,
2021-01-01 09:50:00+05:30,532.5,532.5,532,532,20680,
2021-01-01 09:51:00+05:30,532,532,532,532,12590,
2021-01-01 09:52:00+05:30,532,532,532,532,13170,
2021-01-01 09:53:00+05:30,532,532,532,532,16800,
2021-01-01 09:54:00+05:30,532,532,532,532,47540,
2021-01-01 09:55:00+05:30,532,532,532,532,31060,
2021-01-01 09:56:00+05:30,532.5,532.5,532,532.5,17460,
2021-01-01 09:57:00+05:30,532.5,533,532.5,532.5,30780,
2021-01-01 09:58:00+05:30,532.5,532.5,532.5,532.5,10980,
2021-01-01 09:59:00+05:30,532.5,532.5,532.5,532.5,7900,
2021-01-01 10:00:00+05:30,532.5,532.5,532,532,25440,
