date,open,high,low,close,volume,oi
2023-01-02 09:15:00+05:30,1080.25,1082,1077.05,1079.5,9889,
2023-01-02 09:16:00+05:30,1079.5,1079.5,1076,1076.45,6326,
2023-01-02 09:17:00+05:30,1076,1077.15,1074.15,1075.55,7947,
2023-01-02 09:18:00+05:30,1075.85,1075.85,1074.15,1074.5,4164,
2023-01-02 09:19:00+05:30,1074.5,1074.75,1073,1073.55,11892,
2023-01-02 09:20:00+05:30,1073.25,1074.85,1073,1073.7,3621,
2023-01-02 09:21:00+05:30,1073.7,1074.5,1073.55,1074,2706,
2023-01-02 09:22:00+05:30,1073.8,1074.4,1072,1073.6,5259,
2023-01-02 09:23:00+05:30,1073.6,1073.95,1072.35,1072.45,3739,
2023-01-02 09:24:00+05:30,1072.45,1073,1071.35,1071.75,5180,
2023-01-02 09:25:00+05:30,1071.6,1072.5,1071,1071.5,6166,
2023-01-02 09:26:00+05:30,1071.5,1071.55,1070.2,1071,5442,
2023-01-02 09:27:00+05:30,1071,1071.2,1070.15,1070.45,3274,
2023-01-02 09:28:00+05:30,1070.2,1071,1070.1,1070.6,2769,
2023-01-02 09:29:00+05:30,1070.6,1072.35,1070.1,1071.05,7381,
2023-01-02 09:30:00+05:30,1071.1,1071.3,1070.15,1070.15,3323,
2023-01-02 09:31:00+05:30,1070.2,1070.55,1068.45,1069.1,13166,
2023-01-02 09:32:00+05:30,1069.1,1069.75,1068.25,1069.5,5262,
2023-01-02 09:33:00+05:30,1069.5,1069.75,1066.9,1068.95,17416,
2023-01-02 09:34:00+05:30,1068.95,1069.6,1067.3,1068.6,2461,
2023-01-02 09:35:00+05:30,1068.6,1069,1068,1069,1017,
2023-01-02 09:36:00+05:30,1069,1069.75,1068.1,1069.75,2147,
2023-01-02 09:37:00+05:30,1070,1070,1069.1,1069.5,1413,
2023-01-02 09:38:00+05:30,1069.5,1069.65,1067.5,1067.65,4818,
2023-01-02 09:39:00+05:30,1068,1068.35,1067.05,1067.75,3703,
2023-01-02 09:40:00+05:30,1067.6,1068.6,1066.2,1067.65,6357,
2023-01-02 09:41:00+05:30,1067.65,1067.75,1066.6,1067.3,1425,
2023-01-02 09:42:00+05:30,1067.3,1067.95,1067,1067.25,821,
2023-01-02 09:43:00+05:30,1067.25,1067.9,1066.9,1067.1,2605,
2023-01-02 09:44:00+05:30,1067.1,1068,1066.6,1067.75,2522,
2023-01-02 09:45:00+05:30,1067.7,1068.65,1066.55,1066.55,2448,
2023-01-02 09:46:00+05:30,1066.55,1067.2,1066,1067,4503,
2023-01-02 09:47:00+05:30,1066.8,1067.4,1066.4,1066.85,1195,
