date,open,high,low,close,volume,oi
2024-01-01 09:15:00+05:30,4145,4145,4110.5,4115.15,10520,
2024-01-01 09:16:00+05:30,4110,4122.5,4106.2,4116.9,5810,
2024-01-01 09:17:00+05:30,4116.8,4117.25,4102.95,4115.8,5664,
2024-01-01 09:18:00+05:30,4115.8,4120,4102,4110.95,7581,
2024-01-01 09:19:00+05:30,4110.9,4116.35,4103.95,4106.85,2589,
2024-01-01 09:20:00+05:30,4106.85,4109.05,4091.45,4094.7,10635,
2024-01-01 09:21:00+05:30,4093,4096,4080,4080,13391,
2024-01-01 09:22:00+05:30,4082.2,4082.2,4062,4064.55,8940,
2024-01-01 09:23:00+05:30,4064.45,4065,4055,4057.35,10774,
2024-01-01 09:24:00+05:30,4054,4059.45,4046,4056,12314,
2024-01-01 09:25:00+05:30,4055.6,4069.9,4055,4067.4,12565,
2024-01-01 09:26:00+05:30,4067.4,4069.45,4057.35,4062.75,6609,
2024-01-01 09:27:00+05:30,4062.75,4063.4,4055,4061.6,5785,
2024-01-01 09:28:00+05:30,4061.6,4069,4060.05,4066.35,5840,
2024-01-01 09:29:00+05:30,4066.35,4070,4065,4069.9,2933,
2024-01-01 09:30:00+05:30,4069.9,4070,4063.65,4070,4105,
2024-01-01 09:31:00+05:30,4070,4072,4066,4066,3037,
2024-01-01 09:32:00+05:30,4066.9,4069.1,4062.45,4067.35,5647,
2024-01-01 09:33:00+05:30,4065,4074.7,4065,4073.7,4450,
2024-01-01 09:34:00+05:30,4073.7,4079.3,4073.2,4077.2,5878,
2024-01-01 09:35:00+05:30,4079,4079.3,4072.5,4073.4,3142,
2024-01-01 09:36:00+05:30,4073.3,4074.85,4068.35,4073.95,1601,
2024-01-01 09:37:00+05:30,4073.95,4081,4073.95,4079.85,4644,
2024-01-01 09:38:00+05:30,4079.85,4081,4077.5,4079.45,1935,
2024-01-01 09:39:00+05:30,4079.6,4079.6,4070.6,4072,2188,
2024-01-01 09:40:00+05:30,4070.75,4074.45,4070,4072.25,2646,
2024-01-01 09:41:00+05:30,4072.25,4080,4072.25,4077,3779,
2024-01-01 09:42:00+05:30,4077.95,4079,4075.05,4077.55,1667,
2024-01-01 09:43:00+05:30,4077.55,4078.3,4072.25,4075,1605,
2024-01-01 09:44:00+05:30,4075,4084.9,4075,4082.15,2435,
2024-01-01 09:45:00+05:30,4083,4084.95,4080.8,4081.35,1731,
2024-01-01 09:46:00+05:30,4080.05,4081.35,4072,4074.55,3776,
2024-01-01 09:47:00+05:30,4074.95,4078.9,4074.5,4077.9,1544,
2024-01-01 09:48:00+05:30,4077.9,4079.55,4072.25,4073.1,3647,
2024-01-01 09:49:00+05:30,4073.1,4076,4069,4074,6663,
2024-01-01 09:50:00+05:30,4074,4080.15,4073.25,4079.25,1186,
2024-01-01 09:51:00+05:30,4079.25,4080,4079,4079.6,545,
2024-01-01 09:52:00+05:30,4080,4084,4077.15,4081.05,3566,
2024-01-01 09:53:00+05:30,4083.1,4083.45,4077.6,4082,1547,
2024-01-01 09:54:00+05:30,4082,4083,4079.85,4081.8,803,
2024-01-01 09:55:00+05:30,4080.05,4083,4080,4082,1058,
2024-01-01 09:56:00+05:30,4081.45,4083,4080.1,4082.85,660,
2024-01-01 09:57:00+05:30,4082.85,4086,4080,4086,4526,
2024-01-01 09:58:00+05:30,4086,4086.45,4080.05,4080.05,2584,
2024-01-01 09:59:00+05:30,4080,4080.1,4075,4075.25,2859,
2024-01-01 10:00:00+05:30,4075,4077.7,4075,4076.95,991,
2024-01-01 10:01:00+05:30,4076.95,4085.75,4075.55,4083.85,1008,
2024-01-01 10:02:00+05:30,4083.85,4084.35,4076,4078.2,1878,
2024-01-01 10:03:00+05:30,4078.2,4080.05,4076.05,4079.9,786,
2024-01-01 10:04:00+05:30,4079.9,4081,4076.45,4079.75,691,
2024-01-01 10:05:00+05:30,4080,4080.25,4075.95,4078,1041,
2024-01-01 10:06:00+05:30,4078,4079.05,4068.5,4072.75,5641,
2024-01-01 10:07:00+05:30,4072.75,4072.75,4067.35,4072,1445,
2024-01-01 10:08:00+05:30,4072,4075.2,4067,4070.5,2835,
2024-01-01 10:09:00+05:30,4070.5,4073.95,4070,4073.95,1445,
2024-01-01 10:10:00+05:30,4073.95,4074.1,4070.1,4070.4,938,
2024-01-01 10:11:00+05:30,4072,4072.65,4068.05,4072.3,467,
2024-01-01 10:12:00+05:30,4070,4075,4070,4074.8,909,
