date,open,high,low,close,volume,oi
2024-01-01 09:15:00+05:30,991.55,995.55,991,993.85,65281,
2024-01-01 09:16:00+05:30,993.4,993.95,991.55,992.55,49758,
2024-01-01 09:17:00+05:30,992.95,993.95,992.85,993.85,15370,
2024-01-01 09:18:00+05:30,993.85,994.8,993.4,994.8,15564,
2024-01-01 09:19:00+05:30,994.9,995.05,993.9,994.05,19508,
2024-01-01 09:20:00+05:30,994.05,994.7,994,994.45,5879,
2024-01-01 09:21:00+05:30,994.1,994.95,994,994.9,15134,
2024-01-01 09:22:00+05:30,994.9,994.95,994.5,994.5,3290,
2024-01-01 09:23:00+05:30,994.35,994.95,994.15,994.9,8169,
2024-01-01 09:24:00+05:30,994.95,994.95,994.25,994.55,7393,
2024-01-01 09:25:00+05:30,994.6,994.9,994.4,994.65,10750,
2024-01-01 09:26:00+05:30,994.55,994.75,994.2,994.25,7364,
2024-01-01 09:27:00+05:30,994.1,994.4,994,994.2,8814,
2024-01-01 09:28:00+05:30,994.2,994.8,994.2,994.65,7211,
2024-01-01 09:29:00+05:30,994.8,995,994.3,994.65,13404,
2024-01-01 09:30:00+05:30,994.35,995.15,994.35,994.8,7055,
2024-01-01 09:31:00+05:30,994.8,994.85,994.2,994.45,8475,
2024-01-01 09:32:00+05:30,994.45,994.5,994.35,994.5,2526,
2024-01-01 09:33:00+05:30,994.5,994.95,994.45,994.8,4153,
2024-01-01 09:34:00+05:30,994.8,995,994.65,994.7,7198,
2024-01-01 09:35:00+05:30,994.65,995,994.65,994.85,4281,
2024-01-01 09:36:00+05:30,994.8,995.45,994.65,995.45,15293,
2024-01-01 09:37:00+05:30,995.45,995.45,994.9,995,11791,
2024-01-01 09:38:00+05:30,994.95,995,994.3,994.45,13259,
2024-01-01 09:39:00+05:30,994.35,994.4,993.8,993.8,26840,
2024-01-01 09:40:00+05:30,993.75,994.2,993.6,994.05,18970,
2024-01-01 09:41:00+05:30,993.85,994.05,993.85,994.05,8428,
2024-01-01 09:42:00+05:30,994.05,994.4,993.85,993.9,12284,
2024-01-01 09:43:00+05:30,993.9,994.15,993.8,994,7839,
2024-01-01 09:44:00+05:30,993.8,994,993.5,994,7985,
2024-01-01 09:45:00+05:30,993.65,993.95,993.1,993.4,9007,
2024-01-01 09:46:00+05:30,993.4,993.95,993.05,993.95,13312,
2024-01-01 09:47:00+05:30,993.95,993.95,993.35,993.4,5110,
2024-01-01 09:48:00+05:30,993.4,994.4,993.4,993.8,15199,
2024-01-01 09:49:00+05:30,993.75,994.25,993.55,993.85,7358,
2024-01-01 09:50:00+05:30,993.85,994,993.55,994,6081,
2024-01-01 09:51:00+05:30,993.8,994.2,993.7,994.2,6264,
2024-01-01 09:52:00+05:30,994.2,994.4,993.6,994,5686,
2024-01-01 09:53:00+05:30,994,995.3,993.75,995.15,6644,
2024-01-01 09:54:00+05:30,995.2,995.8,994.85,995.8,22545,
2024-01-01 09:55:00+05:30,996.25,996.5,995,995,29883,
2024-01-01 09:56:00+05:30,995.25,995.25,994.7,994.9,13240,
2024-01-01 09:57:00+05:30,994.9,996.25,994.9,996,15114,
2024-01-01 09:58:00+05:30,995.65,996.3,995.5,996,16313,
2024-01-01 09:59:00+05:30,996.1,996.95,996,996.4,47818,
2024-01-01 10:00:00+05:30,996.35,996.4,995.8,996.35,10577,
2024-01-01 10:01:00+05:30,996.35,997.3,996,997,19158,
2024-01-01 10:02:00+05:30,997.25,997.25,996.35,996.7,10033,
2024-01-01 10:03:00+05:30,996.7,996.8,996,996.3,6002,
2024-01-01 10:04:00+05:30,996.3,996.3,995.8,996.05,10266,
2024-01-01 10:05:00+05:30,996.25,996.65,996.05,996.5,9647,
2024-01-01 10:06:00+05:30,996.4,996.45,995.35,995.55,9774,
2024-01-01 10:07:00+05:30,995.35,995.5,994.65,995.3,53580,
2024-01-01 10:08:00+05:30,995.5,996.5,995.25,996.5,13041,
2024-01-01 10:09:00+05:30,996.5,996.5,995.55,995.95,6584,
2024-01-01 10:10:00+05:30,995.7,996,995.55,995.8,8589,
2024-01-01 10:11:00+05:30,995.8,995.8,995.2,995.3,5491,
2024-01-01 10:12:00+05:30,995.25,995.7,995.15,995.5,4411,
2024-01-01 10:13:00+05:30,995.35,995.7,995.3,995.35,6238,
2024-01-01 10:14:00+05:30,995.3,995.9,995.3,995.6,5666,
2024-01-01 10:15:00+05:30,995.4,995.95,995.15,995.95,8353,
2024-01-01 10:16:00+05:30,995.95,995.95,995.5,995.55,6051,
2024-01-01 10:17:00+05:30,995.6,995.7,995.15,995.7,5940,
2024-01-01 10:18:00+05:30,995.75,995.95,995.3,995.5,5373,
2024-01-01 10:19:00+05:30,995.5,995.7,995.3,995.7,6948,
2024-01-01 10:20:00+05:30,995.7,995.7,995.15,995.6,4922,
2024-01-01 10:21:00+05:30,995.5,995.6,995.2,995.35,5935,
2024-01-01 10:22:00+05:30,995.6,995.6,995,995,16374,
2024-01-01 10:23:00+05:30,995.05,995.65,994.8,995.35,11039,
2024-01-01 10:24:00+05:30,995.35,995.5,995.05,995.25,15552,
2024-01-01 10:25:00+05:30,995.5,996,995.15,996,40740,
2024-01-01 10:26:00+05:30,995.5,996.05,995.5,996.05,6074,
2024-01-01 10:27:00+05:30,996.05,996.15,995.85,996.1,4817,
2024-01-01 10:28:00+05:30,996.1,996.4,995.75,996.35,11120,
2024-01-01 10:29:00+05:30,996.5,996.5,996.1,996.5,9406,
2024-01-01 10:30:00+05:30,996.25,996.5,996,996.05,6357,
2024-01-01 10:31:00+05:30,996.2,996.2,995.95,996.2,6573,
2024-01-01 10:32:00+05:30,996.2,996.5,995.8,996.3,10058,
2024-01-01 10:33:00+05:30,996.4,996.5,996.1,996.5,6046,
2024-01-01 10:34:00+05:30,996.5,996.8,996.05,996.6,20620,
2024-01-01 10:35:00+05:30,996.8,996.8,996.5,996.5,4214,
2024-01-01 10:36:00+05:30,996.55,996.95,996.4,996.6,8276,
2024-01-01 10:37:00+05:30,996.9,997.7,996.55,997.55,22412,
2024-01-01 10:38:00+05:30,997.3,997.8,997.25,997.4,10958,
2024-01-01 10:39:00+05:30,997.5,997.55,996.8,997.55,10369,
2024-01-01 10:40:00+05:30,997.55,998.6,997.5,998.4,31866,
2024-01-01 10:41:00+05:30,998.35,998.8,998.05,998.4,15541,
2024-01-01 10:42:00+05:30,998.4,998.65,998.2,998.4,15984,
2024-01-01 10:43:00+05:30,998.6,998.6,998.1,998.55,12428,
2024-01-01 10:44:00+05:30,998.6,999.45,998.1,999.3,31341,
2024-01-01 10:45:00+05:30,999.2,999.55,998.65,999,34417,
2024-01-01 10:46:00+05:30,999,999.75,998.8,999.3,17828,
2024-01-01 10:47:00+05:30,999.3,1000.55,999.2,1000.15,51215,
2024-01-01 10:48:00+05:30,1000,1000.5,1000,1000.1,14412,
2024-01-01 10:49:00+05:30,1000.2,1000.4,1000,1000.15,10839,
2024-01-01 10:50:00+05:30,1000.15,1000.4,1000,1000.2,22455,
2024-01-01 10:51:00+05:30,1000.2,1000.8,1000,1000.5,15583,
2024-01-01 10:52:00+05:30,1000.5,1000.5,1000.25,1000.4,7023,
2024-01-01 10:53:00+05:30,1000.4,1000.9,1000.25,1000.7,15861,
2024-01-01 10:54:00+05:30,1000.7,1000.95,1000.35,1000.8,14462,
2024-01-01 10:55:00+05:30,1000.7,1000.75,1000.3,1000.4,11549,
2024-01-01 10:56:00+05:30,1000.3,1000.5,1000,1000.05,22343,
2024-01-01 10:57:00+05:30,1000.2,1000.5,1000,1000.25,21189,
2024-01-01 10:58:00+05:30,1000.1,1000.25,1000,1000.05,17951,
2024-01-01 10:59:00+05:30,1000.05,1000.5,1000,1000.5,12312,
2024-01-01 11:00:00+05:30,1000.5,1000.8,1000.25,1000.5,10725,
2024-01-01 11:01:00+05:30,1000.55,1001,1000.25,1001,10396,
2024-01-01 11:02:00+05:30,1001,1001,1000.35,1000.9,5303,
2024-01-01 11:03:00+05:30,1000.9,1000.9,1000,1000.45,11050,
2024-01-01 11:04:00+05:30,1000.45,1000.5,1000,1000.05,39403,
2024-01-01 11:05:00+05:30,1000,1000.3,1000,1000.1,8611,
2024-01-01 11:06:00+05:30,1000.1,1000.1,1000,1000.05,4652,
2024-01-01 11:07:00+05:30,1000.1,1000.45,1000,1000.15,12581,
2024-01-01 11:08:00+05:30,1000.15,1000.5,1000,1000.5,6290,
2024-01-01 11:09:00+05:30,1000.15,1001.4,1000.1,1000.8,22639,
2024-01-01 11:10:00+05:30,1000.85,1001.05,1000.1,1000.55,38252,
2024-01-01 11:11:00+05:30,1000.35,1000.55,1000,1000.15,6282,
2024-01-01 11:12:00+05:30,1000.15,1000.4,999.95,1000,53862,
2024-01-01 11:13:00+05:30,1000,1000.5,999.95,1000.2,26292,
2024-01-01 11:14:00+05:30,1000.05,1000.6,1000.05,1000.3,35468,
2024-01-01 11:15:00+05:30,1000.3,1000.6,1000.25,1000.35,6334,
2024-01-01 11:16:00+05:30,1000.25,1000.6,1000.25,1000.3,8481,
2024-01-01 11:17:00+05:30,1000.55,1000.8,1000,1000,63448,
2024-01-01 11:18:00+05:30,1000.4,1000.5,999.95,1000.5,54157,
2024-01-01 11:19:00+05:30,1000.45,1001,1000.35,1000.85,7871,
2024-01-01 11:20:00+05:30,1000.85,1001.45,1000.8,1001,9979,
2024-01-01 11:21:00+05:30,1001.05,1001.05,1000.3,1000.5,4816,
2024-01-01 11:22:00+05:30,1000.5,1000.75,1000.25,1000.5,5228,
2024-01-01 11:23:00+05:30,1000.5,1000.7,1000.2,1000.4,7840,
2024-01-01 11:24:00+05:30,1000.2,1000.85,1000.2,1000.5,10651,
2024-01-01 11:25:00+05:30,1000.35,1000.45,1000.15,1000.2,33470,
2024-01-01 11:26:00+05:30,1000.2,1000.35,1000.2,1000.35,8658,
2024-01-01 11:27:00+05:30,1000.35,1000.8,1000.2,1000.55,6819,
2024-01-01 11:28:00+05:30,1000.5,1000.7,1000.4,1000.5,5328,
2024-01-01 11:29:00+05:30,1000.5,1000.8,1000.5,1000.6,5611,
2024-01-01 11:30:00+05:30,1000.6,1000.75,1000.5,1000.5,7184,
2024-01-01 11:31:00+05:30,1000.5,1000.75,1000.15,1000.35,15499,
2024-01-01 11:32:00+05:30,1000.25,1000.65,1000.25,1000.65,6427,
2024-01-01 11:33:00+05:30,1000.5,1000.8,1000.2,1000.25,23692,
2024-01-01 11:34:00+05:30,1000.2,1000.25,1000.15,1000.15,39269,
2024-01-01 11:35:00+05:30,1000.1,1000.15,1000.1,1000.15,10366,
2024-01-01 11:36:00+05:30,1000.1,1000.15,999.05,999.15,27521,
2024-01-01 11:37:00+05:30,999.4,999.4,998.3,998.7,17353,
2024-01-01 11:38:00+05:30,998.65,998.9,998.45,998.7,6757,
2024-01-01 11:39:00+05:30,998.7,999.15,998.65,999.15,7338,
2024-01-01 11:40:00+05:30,999.3,999.55,998.95,999.45,9633,
2024-01-01 11:41:00+05:30,999.25,999.55,999.1,999.3,4151,
2024-01-01 11:42:00+05:30,999.35,999.5,999,999.45,5401,
2024-01-01 11:43:00+05:30,999.45,999.45,998.6,998.95,5339,
2024-01-01 11:44:00+05:30,998.9,999,998.5,998.6,3716,
2024-01-01 11:45:00+05:30,998.6,999.4,998.55,999.35,14035,
2024-01-01 11:46:00+05:30,999.35,999.65,999,999.35,31230,
2024-01-01 11:47:00+05:30,999.55,999.8,999.2,999.3,5483,
2024-01-01 11:48:00+05:30,999.3,999.4,999.05,999.2,4286,
2024-01-01 11:49:00+05:30,999.2,999.25,998.95,999.15,3731,
2024-01-01 11:50:00+05:30,999.2,999.4,999,999.15,4865,
2024-01-01 11:51:00+05:30,999,999.4,999,999.25,5709,
2024-01-01 11:52:00+05:30,999.45,1000,999.4,999.9,7368,
2024-01-01 11:53:00+05:30,999.75,999.95,999.25,999.65,5514,
2024-01-01 11:54:00+05:30,999.65,1000,999.4,999.95,7215,
2024-01-01 11:55:00+05:30,999.8,999.95,999.5,999.9,4594,
2024-01-01 11:56:00+05:30,999.9,999.9,999.5,999.8,5063,
2024-01-01 11:57:00+05:30,999.8,999.9,999.55,999.85,5741,
2024-01-01 11:58:00+05:30,999.6,999.9,999.4,999.9,4531,
2024-01-01 11:59:00+05:30,999.9,999.95,999.6,999.65,3821,
2024-01-01 12:00:00+05:30,999.6,999.8,999.25,999.35,5953,
2024-01-01 12:01:00+05:30,999.55,999.55,999,999,8679,
2024-01-01 12:02:00+05:30,999.5,999.8,998.95,999,20512,
2024-01-01 12:03:00+05:30,999.35,999.8,998.75,998.75,26782,
2024-01-01 12:04:00+05:30,998.75,999.4,998.75,999.15,14121,
2024-01-01 12:05:00+05:30,999.15,999.2,998.6,998.9,5822,
2024-01-01 12:06:00+05:30,998.95,999.35,998.6,999,5391,
2024-01-01 12:07:00+05:30,999,999.45,998.75,999,15537,
2024-01-01 12:08:00+05:30,999,999.3,998.8,998.95,10691,
2024-01-01 12:09:00+05:30,999.1,999.55,998.9,999.4,41580,
2024-01-01 12:10:00+05:30,999.4,999.8,999.25,999.65,5963,
2024-01-01 12:11:00+05:30,999.65,999.85,999.15,999.7,7407,
2024-01-01 12:12:00+05:30,999.75,999.95,999.5,999.95,12999,
2024-01-01 12:13:00+05:30,999.75,1000.45,999.75,1000.4,27340,
2024-01-01 12:14:00+05:30,1000.4,1000.7,1000,1000.35,7864,
2024-01-01 12:15:00+05:30,1000.4,1000.6,1000,1000.05,5220,
2024-01-01 12:16:00+05:30,1000.05,1000.05,999.7,999.8,8195,
2024-01-01 12:17:00+05:30,999.8,999.95,999.25,999.4,4802,
2024-01-01 12:18:00+05:30,999.35,999.7,999.3,999.4,4948,
2024-01-01 12:19:00+05:30,999.4,999.4,999,999.3,6664,
2024-01-01 12:20:00+05:30,999,999.35,999,999,4455,
2024-01-01 12:21:00+05:30,999,999.25,998.7,998.85,14116,
2024-01-01 12:22:00+05:30,998.8,999.1,998.5,998.7,6506,
2024-01-01 12:23:00+05:30,998.6,999.15,998.6,999.05,6394,
2024-01-01 12:24:00+05:30,999.05,999.05,998.6,998.65,5443,
2024-01-01 12:25:00+05:30,998.75,999.2,998.65,999.05,7126,
2024-01-01 12:26:00+05:30,999.05,999.05,998.55,998.75,5171,
2024-01-01 12:27:00+05:30,998.65,999,998.5,998.7,7132,
2024-01-01 12:28:00+05:30,998.55,998.7,998,998.2,12627,
2024-01-01 12:29:00+05:30,998.15,998.85,998,998.85,15652,
2024-01-01 12:30:00+05:30,998.85,998.85,998.35,998.6,5200,
2024-01-01 12:31:00+05:30,998.6,998.8,998,998.5,10413,
2024-01-01 12:32:00+05:30,998.45,998.85,998,998.8,43128,
2024-01-01 12:33:00+05:30,998.8,999,998.45,999,6075,
2024-01-01 12:34:00+05:30,998.95,999.85,998.6,999.75,38045,
2024-01-01 12:35:00+05:30,999.7,999.7,998.75,998.95,17337,
2024-01-01 12:36:00+05:30,999,999,998.75,998.95,7175,
2024-01-01 12:37:00+05:30,999,999,998.5,998.85,5967,
2024-01-01 12:38:00+05:30,998.7,998.9,998.5,998.85,7534,
2024-01-01 12:39:00+05:30,998.85,999,998.6,998.9,11433,
2024-01-01 12:40:00+05:30,998.9,999.15,998.75,998.95,9825,
2024-01-01 12:41:00+05:30,998.9,999,998.55,998.95,7731,
2024-01-01 12:42:00+05:30,999,999,998.4,999,7772,
2024-01-01 12:43:00+05:30,998.85,998.95,998.5,998.7,8416,
2024-01-01 12:44:00+05:30,998.8,999.45,998.45,999.35,30273,
2024-01-01 12:45:00+05:30,999.45,999.55,998.85,999.55,8270,
2024-01-01 12:46:00+05:30,999.45,999.65,998.95,999.6,12274,
2024-01-01 12:47:00+05:30,999.55,999.55,998.75,999.5,11294,
2024-01-01 12:48:00+05:30,999.35,999.6,999.25,999.35,9344,
2024-01-01 12:49:00+05:30,999.6,999.6,998.75,998.95,12653,
2024-01-01 12:50:00+05:30,998.9,999,998.75,998.8,11666,
2024-01-01 12:51:00+05:30,998.8,999,998.5,998.6,40468,
2024-01-01 12:52:00+05:30,998.95,999.3,998.45,999.3,9670,
2024-01-01 12:53:00+05:30,999.25,999.25,998.55,999.25,7845,
2024-01-01 12:54:00+05:30,999.2,999.45,999,999.45,7432,
2024-01-01 12:55:00+05:30,999.45,999.45,998.65,999.35,7328,
2024-01-01 12:56:00+05:30,999.2,999.45,998.85,999.3,10124,
2024-01-01 12:57:00+05:30,999.3,999.3,998.65,999.25,7825,
2024-01-01 12:58:00+05:30,999.2,999.2,998.65,998.95,28149,
2024-01-01 12:59:00+05:30,999,999,998.15,998.95,39820,
2024-01-01 13:00:00+05:30,998.95,998.95,998.4,998.7,8271,
2024-01-01 13:01:00+05:30,998.7,998.7,998.25,998.45,36428,
2024-01-01 13:02:00+05:30,998.45,999.1,998.45,999.1,19606,
2024-01-01 13:03:00+05:30,999.15,999.15,998.6,998.85,6636,
2024-01-01 13:04:00+05:30,998.8,998.8,998.25,998.75,29326,
2024-01-01 13:05:00+05:30,998.7,999.5,998.35,999.4,12546,
2024-01-01 13:06:00+05:30,999.45,999.45,998.85,999,8368,
2024-01-01 13:07:00+05:30,999.25,999.3,998.5,998.6,8188,
2024-01-01 13:08:00+05:30,998.95,998.95,998.45,998.9,10489,
2024-01-01 13:09:00+05:30,999,999.05,998.25,998.5,9854,
2024-01-01 13:10:00+05:30,998.5,998.7,998.15,998.45,21364,
2024-01-01 13:11:00+05:30,998.35,998.75,998,998.35,53452,
2024-01-01 13:12:00+05:30,998.6,998.6,998.1,998.5,9235,
2024-01-01 13:13:00+05:30,998.5,998.6,998.1,998.4,8948,
2024-01-01 13:14:00+05:30,998.35,998.95,998.15,998.85,11140,
2024-01-01 13:15:00+05:30,998.95,998.95,998.5,998.7,8159,
2024-01-01 13:16:00+05:30,998.85,998.95,998.45,998.9,9405,
2024-01-01 13:17:00+05:30,998.9,998.95,998.5,998.9,6641,
2024-01-01 13:18:00+05:30,998.85,998.9,998.35,998.75,7728,
2024-01-01 13:19:00+05:30,998.85,998.85,998.1,998.6,8763,
2024-01-01 13:20:00+05:30,998.6,998.75,998.15,998.7,7480,
2024-01-01 13:21:00+05:30,998.75,998.85,998.1,998.3,11203,
2024-01-01 13:22:00+05:30,998.3,998.9,998.2,998.9,15459,
2024-01-01 13:23:00+05:30,998.8,998.95,998.05,998.1,40180,
2024-01-01 13:24:00+05:30,998.5,998.75,998.1,998.45,9723,
2024-01-01 13:25:00+05:30,998.5,998.5,998,998.25,52605,
2024-01-01 13:26:00+05:30,998.2,998.8,998,998.45,23293,
2024-01-01 13:27:00+05:30,998.45,998.5,998,998.25,11990,
2024-01-01 13:28:00+05:30,998.45,999,998.15,998.95,16445,
2024-01-01 13:29:00+05:30,998.9,999,998.5,999,10632,
2024-01-01 13:30:00+05:30,999,999,998.6,998.95,10654,
2024-01-01 13:31:00+05:30,998.95,999.05,998.55,998.8,10823,
2024-01-01 13:32:00+05:30,998.8,999,998.45,998.95,9995,
2024-01-01 13:33:00+05:30,998.95,998.95,998.45,998.9,9530,
2024-01-01 13:34:00+05:30,998.9,998.95,998.5,998.95,9167,
2024-01-01 13:35:00+05:30,998.95,999,998.5,999,11777,
2024-01-01 13:36:00+05:30,999,999,998.4,999,13520,
2024-01-01 13:37:00+05:30,998.9,999.05,998.45,998.45,11913,
2024-01-01 13:38:00+05:30,998.7,999,998.55,998.95,30165,
2024-01-01 13:39:00+05:30,998.95,998.95,998,998,13351,
2024-01-01 13:40:00+05:30,998.3,998.5,998,998.4,9422,
2024-01-01 13:41:00+05:30,998.05,998.85,998,998.6,11787,
2024-01-01 13:42:00+05:30,998.6,998.6,998,998.4,9727,
2024-01-01 13:43:00+05:30,998.4,998.4,997.9,998.25,10159,
2024-01-01 13:44:00+05:30,998,998.25,997.95,997.95,14102,
2024-01-01 13:45:00+05:30,998.15,998.2,997.7,997.9,18207,
2024-01-01 13:46:00+05:30,998.1,998.1,997.65,998.05,7677,
2024-01-01 13:47:00+05:30,998,998.4,997.7,998.25,9194,
2024-01-01 13:48:00+05:30,998.25,998.75,998.15,998.75,10904,
2024-01-01 13:49:00+05:30,998.75,998.75,998.2,998.65,10253,
2024-01-01 13:50:00+05:30,998.55,998.75,998.15,998.3,12764,
2024-01-01 13:51:00+05:30,998.3,998.5,998.05,998.3,9163,
2024-01-01 13:52:00+05:30,998.3,998.45,998.05,998.4,7043,
2024-01-01 13:53:00+05:30,998.35,998.45,998,998.25,15329,
2024-01-01 13:54:00+05:30,998.15,998.45,997.9,998.3,8436,
2024-01-01 13:55:00+05:30,998.3,998.3,997.7,997.9,8539,
2024-01-01 13:56:00+05:30,997.85,998.55,997.8,998.55,15302,
2024-01-01 13:57:00+05:30,998.15,999.75,998.15,999.65,18280,
2024-01-01 13:58:00+05:30,999.75,999.75,999,999.3,8311,
2024-01-01 13:59:00+05:30,999.35,999.45,998.8,999.15,10640,
2024-01-01 14:00:00+05:30,999.4,999.4,998.6,999.15,7627,
2024-01-01 14:01:00+05:30,999.05,999.45,998.7,999.4,9326,
2024-01-01 14:02:00+05:30,999.4,1000,999.3,999.55,36959,
2024-01-01 14:03:00+05:30,999.8,1000,999.5,999.85,22742,
2024-01-01 14:04:00+05:30,999.9,1000.1,999.8,1000.1,28052,
2024-01-01 14:05:00+05:30,1000.1,1000.35,999.8,999.95,26347,
2024-01-01 14:06:00+05:30,999.95,1000,999.45,999.8,13208,
2024-01-01 14:07:00+05:30,999.8,1000.4,999.7,1000.05,16217,
2024-01-01 14:08:00+05:30,1000.05,1000.05,999.25,999.9,11924,
2024-01-01 14:09:00+05:30,999.9,999.9,999.1,999.5,8017,
2024-01-01 14:10:00+05:30,999.5,999.5,998.85,998.85,16958,
2024-01-01 14:11:00+05:30,998.95,999.5,998.85,999.5,46235,
2024-01-01 14:12:00+05:30,999.5,999.6,999.15,999.6,11637,
2024-01-01 14:13:00+05:30,999.8,1000.25,999.3,1000.2,23386,
2024-01-01 14:14:00+05:30,1000.1,1000.15,999.65,1000,11813,
2024-01-01 14:15:00+05:30,1000,1000.1,999.75,1000,13822,
