date,open,high,low,close,volume,oi
2023-01-02 09:15:00+05:30,1514,1514.75,1508.3,1511,34987,
2023-01-02 09:16:00+05:30,1511.9,1511.95,1509.5,1511,17008,
2023-01-02 09:17:00+05:30,1511,1512,1509,1512,32221,
2023-01-02 09:18:00+05:30,1512,1512,1508.3,1511,16122,
2023-01-02 09:19:00+05:30,1510.35,1511.4,1508.6,1508.6,12191,
2023-01-02 09:20:00+05:30,1509.15,1510.15,1506.2,1509.2,27854,
2023-01-02 09:21:00+05:30,1509.1,1509.6,1507.1,1509,10523,
2023-01-02 09:22:00+05:30,1509,1509.8,1508.5,1509,10813,
2023-01-02 09:23:00+05:30,1509,1509.95,1508.95,1509.4,6676,
2023-01-02 09:24:00+05:30,1509.4,1511.8,1509,1511.5,9606,
2023-01-02 09:25:00+05:30,1511.5,1511.5,1510.9,1511.4,3413,
2023-01-02 09:26:00+05:30,1511.4,1511.95,1511.05,1511.5,5064,
2023-01-02 09:27:00+05:30,1510.9,1511.55,1509.15,1509.95,5107,
2023-01-02 09:28:00+05:30,1509.95,1510.75,1508,1508,23362,
2023-01-02 09:29:00+05:30,1508,1508.4,1506.5,1507.9,9093,
2023-01-02 09:30:00+05:30,1507.9,1508.35,1507,1507.5,10062,
2023-01-02 09:31:00+05:30,1507.65,1508,1507,1507.35,7040,
2023-01-02 09:32:00+05:30,1507.35,1508,1507,1507.35,18442,
2023-01-02 09:33:00+05:30,1507.35,1507.35,1504.15,1506.5,42361,
2023-01-02 09:34:00+05:30,1506.35,1508,1506.2,1507.1,4519,
2023-01-02 09:35:00+05:30,1506.65,1507.15,1506,1506.15,66978,
2023-01-02 09:36:00+05:30,1506.6,1507.75,1506,1507.7,11926,
2023-01-02 09:37:00+05:30,1507.35,1508,1507,1507.9,3181,
2023-01-02 09:38:00+05:30,1507.6,1508.7,1507.55,1508.15,7217,
2023-01-02 09:39:00+05:30,1508.15,1509.45,1508.15,1509.4,4446,
2023-01-02 09:40:00+05:30,1509.35,1509.95,1508.9,1509.65,8989,
2023-01-02 09:41:00+05:30,1509.4,1510.5,1508.35,1510.1,11589,
2023-01-02 09:42:00+05:30,1510.4,1510.5,1510.05,1510.5,2765,
2023-01-02 09:43:00+05:30,1510.5,1511.4,1510.4,1510.95,7546,
2023-01-02 09:44:00+05:30,1511,1512,1510.65,1511.9,9546,
2023-01-02 09:45:00+05:30,1511.55,1512.75,1511.4,1511.4,11760,
2023-01-02 09:46:00+05:30,1511.75,1512,1510.5,1512,8019,
2023-01-02 09:47:00+05:30,1512,1513,1511.55,1512.8,7683,
2023-01-02 09:48:00+05:30,1512.8,1514.4,1512.45,1514.4,13974,
2023-01-02 09:49:00+05:30,1514.4,1515,1514,1515,13088,
2023-01-02 09:50:00+05:30,1515,1515,1514.25,1514.4,11566,
2023-01-02 09:51:00+05:30,1514.4,1515,1514.4,1514.95,8833,
2023-01-02 09:52:00+05:30,1514.95,1515.45,1514.65,1515.25,11239,
2023-01-02 09:53:00+05:30,1515.25,1515.45,1514.9,1515.2,7183,
2023-01-02 09:54:00+05:30,1515.2,1515.45,1514.2,1514.95,11217,
2023-01-02 09:55:00+05:30,1514.95,1515,1513.4,1514.6,10204,
2023-01-02 09:56:00+05:30,1514.65,1514.9,1514.05,1514.7,6619,
2023-01-02 09:57:00+05:30,1514.8,1514.8,1514,1514.3,7356,
2023-01-02 09:58:00+05:30,1514.3,1514.5,1514.05,1514.25,5961,
2023-01-02 09:59:00+05:30,1514.4,1514.4,1512.4,1512.4,9427,
2023-01-02 10:00:00+05:30,1512.7,1513.7,1512.4,1512.5,5770,
2023-01-02 10:01:00+05:30,1512.6,1513,1512.4,1512.95,6505,
2023-01-02 10:02:00+05:30,1512.95,1512.95,1512.4,1512.4,6796,
2023-01-02 10:03:00+05:30,1512.4,1512.9,1512.25,1512.45,5883,
2023-01-02 10:04:00+05:30,1512.45,1514,1512.45,1514,6849,
2023-01-02 10:05:00+05:30,1514,1514.5,1513.55,1514.2,7142,
2023-01-02 10:06:00+05:30,1514.2,1515,1514.2,1514.95,5821,
2023-01-02 10:07:00+05:30,1514.95,1515.95,1514.8,1515.8,21463,
2023-01-02 10:08:00+05:30,1515.8,1516.9,1515.75,1516,8068,
2023-01-02 10:09:00+05:30,1516.4,1517,1516,1516.65,11266,
2023-01-02 10:10:00+05:30,1516.65,1517,1515.9,1516.25,6951,
2023-01-02 10:11:00+05:30,1516.45,1516.45,1515,1515.5,4333,
2023-01-02 10:12:00+05:30,1515.4,1516,1514.05,1515.9,193273,
2023-01-02 10:13:00+05:30,1516,1516.65,1515.9,1516.45,97544,
2023-01-02 10:14:00+05:30,1516.35,1516.35,1515,1515,3618,
2023-01-02 10:15:00+05:30,1514.75,1515.6,1514.1,1515,4227,
2023-01-02 10:16:00+05:30,1515,1515,1514,1514,3338,
2023-01-02 10:17:00+05:30,1514.35,1514.45,1513,1513,4530,
2023-01-02 10:18:00+05:30,1513,1513.65,1512.7,1513.65,2544,
2023-01-02 10:19:00+05:30,1513.85,1514.05,1513,1513,3448,
2023-01-02 10:20:00+05:30,1513.5,1514.35,1513.25,1513.6,1435,
2023-01-02 10:21:00+05:30,1513.95,1514.85,1513.8,1514.35,1362,
2023-01-02 10:22:00+05:30,1514.35,1514.35,1514.05,1514.15,1066,
2023-01-02 10:23:00+05:30,1514.15,1514.35,1513.6,1513.8,1161,
2023-01-02 10:24:00+05:30,1513.4,1514.1,1513.4,1514.1,1160,
2023-01-02 10:25:00+05:30,1514.1,1514.1,1513.4,1513.6,2499,
2023-01-02 10:26:00+05:30,1513.65,1513.8,1512,1512.15,6814,
2023-01-02 10:27:00+05:30,1512.15,1513,1512,1512.65,2892,
2023-01-02 10:28:00+05:30,1512.85,1512.85,1512,1512.75,1756,
2023-01-02 10:29:00+05:30,1512.75,1512.85,1512,1512.05,3518,
2023-01-02 10:30:00+05:30,1512.5,1513,1512.25,1512.9,722,
2023-01-02 10:31:00+05:30,1512.9,1513.45,1512.3,1512.6,1555,
2023-01-02 10:32:00+05:30,1512.45,1513.1,1511.95,1512.15,3056,
2023-01-02 10:33:00+05:30,1512.05,1512.15,1510.85,1511,6674,
2023-01-02 10:34:00+05:30,1511.05,1511.05,1510,1510,5286,
2023-01-02 10:35:00+05:30,1510.3,1510.4,1510,1510.1,1882,
2023-01-02 10:36:00+05:30,1510.2,1510.4,1509,1509.45,6683,
2023-01-02 10:37:00+05:30,1509.45,1510.4,1509.3,1509.85,1834,
2023-01-02 10:38:00+05:30,1510,1510.2,1509.8,1510.05,2198,
2023-01-02 10:39:00+05:30,1509.9,1511.2,1509.9,1510.95,4151,
2023-01-02 10:40:00+05:30,1510.95,1511.15,1509.8,1510.45,4628,
2023-01-02 10:41:00+05:30,1510.45,1510.9,1509.85,1510.5,890,
2023-01-02 10:42:00+05:30,1510.5,1511,1510.25,1511,1273,
2023-01-02 10:43:00+05:30,1511,1511.6,1510.6,1511.2,1787,
2023-01-02 10:44:00+05:30,1510.7,1511.2,1509.8,1509.8,3879,
2023-01-02 10:45:00+05:30,1510,1510,1509.1,1509.25,3668,
2023-01-02 10:46:00+05:30,1509.2,1509.7,1509,1509.7,31180,
2023-01-02 10:47:00+05:30,1509.95,1510.45,1509.05,1510,17876,
2023-01-02 10:48:00+05:30,1510,1510.8,1510,1510,6447,
