date,open,high,low,close,volume,oi
2024-01-01 09:15:00+05:30,1909,1910,1900,1901.1,9709,
2024-01-01 09:16:00+05:30,1900,1904.1,1900,1900.95,10857,
2024-01-01 09:17:00+05:30,1900.95,1903.5,1900.55,1902.55,3436,
2024-01-01 09:18:00+05:30,1902.55,1903,1901.7,1902.3,1680,
2024-01-01 09:19:00+05:30,1902.5,1902.7,1901.4,1901.4,1901,
2024-01-01 09:20:00+05:30,1901.95,1902,1901,1901.8,5119,
2024-01-01 09:21:00+05:30,1901.85,1902.1,1900.1,1901.8,2090,
2024-01-01 09:22:00+05:30,1901.8,1902.05,1900.5,1900.6,1603,
2024-01-01 09:23:00+05:30,1900.55,1902.1,1900.55,1901.4,588,
2024-01-01 09:24:00+05:30,1901.9,1901.95,1900.55,1900.55,1681,
2024-01-01 09:25:00+05:30,1900.7,1901.4,1900.2,1900.55,2364,
2024-01-01 09:26:00+05:30,1900.4,1901.05,1900,1900.7,4027,
2024-01-01 09:27:00+05:30,1900.55,1901.3,1900,1901,4699,
2024-01-01 09:28:00+05:30,1901,1901.5,1900.75,1901,1246,
2024-01-01 09:29:00+05:30,1901.4,1902.05,1900.75,1900.9,29211,
2024-01-01 09:30:00+05:30,1900.9,1901.5,1900,1900.9,4358,
2024-01-01 09:31:00+05:30,1901.7,1901.7,1900,1900.5,1244,
2024-01-01 09:32:00+05:30,1900.05,1900.5,1899.25,1899.8,2915,
2024-01-01 09:33:00+05:30,1899.8,1901.6,1899.8,1901.3,8324,
2024-01-01 09:34:00+05:30,1901.4,1902.1,1901,1902,952,
2024-01-01 09:35:00+05:30,1901.5,1902.5,1901.35,1902.5,1757,
2024-01-01 09:36:00+05:30,1902.05,1904.5,1901.8,1904.5,32862,
2024-01-01 09:37:00+05:30,1904,1905,1904,1904.45,4598,
2024-01-01 09:38:00+05:30,1904.45,1904.45,1902.2,1902.2,4668,
2024-01-01 09:39:00+05:30,1902.2,1902.35,1901,1901.05,1343,
2024-01-01 09:40:00+05:30,1901,1901.7,1900.6,1901.1,1510,
2024-01-01 09:41:00+05:30,1901.1,1901.5,1901.1,1901.4,825,
2024-01-01 09:42:00+05:30,1901.4,1902,1901,1901.15,1062,
2024-01-01 09:43:00+05:30,1901.15,1902.35,1901.15,1902.2,977,
2024-01-01 09:44:00+05:30,1901.9,1902.5,1901.85,1901.85,565,
2024-01-01 09:45:00+05:30,1902.2,1902.9,1902,1902.35,736,
2024-01-01 09:46:00+05:30,1902.05,1904.1,1902.05,1904.05,1084,
2024-01-01 09:47:00+05:30,1903.6,1905,1903.6,1905,1571,
2024-01-01 09:48:00+05:30,1904.95,1905.55,1904.55,1905.35,1715,
2024-01-01 09:49:00+05:30,1905.35,1905.9,1905,1905.5,600,
2024-01-01 09:50:00+05:30,1905.3,1906.3,1905.3,1906,1466,
2024-01-01 09:51:00+05:30,1905.4,1906.45,1905.4,1905.5,864,
2024-01-01 09:52:00+05:30,1905.5,1907.25,1905.5,1907.25,6909,
2024-01-01 09:53:00+05:30,1906.65,1907.5,1906,1907.1,2054,
2024-01-01 09:54:00+05:30,1907.5,1907.5,1906.55,1907.35,2627,
2024-01-01 09:55:00+05:30,1907.5,1908.35,1905.3,1905.4,4972,
2024-01-01 09:56:00+05:30,1905.4,1906.85,1905.4,1906.75,1040,
2024-01-01 09:57:00+05:30,1906.8,1907.95,1906.1,1906.85,4276,
2024-01-01 09:58:00+05:30,1907.15,1908.6,1906.1,1907.15,4388,
2024-01-01 09:59:00+05:30,1907.15,1908.15,1906,1906.6,2647,
2024-01-01 10:00:00+05:30,1906.6,1907.05,1905.2,1906,1175,
2024-01-01 10:01:00+05:30,1906,1907.55,1905.7,1906.6,1258,
2024-01-01 10:02:00+05:30,1906.6,1907.4,1906.15,1906.5,780,
2024-01-01 10:03:00+05:30,1907,1907.75,1906.45,1907,4033,
2024-01-01 10:04:00+05:30,1906.65,1907.3,1906.3,1906.35,423,
2024-01-01 10:05:00+05:30,1906.9,1907.75,1906.8,1907,346,
2024-01-01 10:06:00+05:30,1907,1907.5,1906.05,1907.5,1756,
2024-01-01 10:07:00+05:30,1907.5,1907.6,1906,1906.7,12031,
2024-01-01 10:08:00+05:30,1907.35,1907.9,1907,1907.9,1895,
2024-01-01 10:09:00+05:30,1907.9,1907.9,1907.05,1907.4,1957,
2024-01-01 10:10:00+05:30,1907.4,1908.7,1907.05,1908.7,3107,
2024-01-01 10:11:00+05:30,1908.45,1909.45,1908.2,1908.3,1688,
2024-01-01 10:12:00+05:30,1908.3,1908.65,1907.45,1908.65,2063,
2024-01-01 10:13:00+05:30,1908.65,1908.7,1907.7,1907.7,346,
2024-01-01 10:14:00+05:30,1908.4,1908.95,1907.75,1908.75,3777,
2024-01-01 10:15:00+05:30,1908.05,1909,1907.8,1908.95,936,
2024-01-01 10:16:00+05:30,1908.95,1908.95,1907.55,1907.55,610,
2024-01-01 10:17:00+05:30,1907.9,1909,1907.85,1908.45,290,
2024-01-01 10:18:00+05:30,1909,1909.75,1908.45,1908.75,1520,
2024-01-01 10:19:00+05:30,1909,1909.2,1908.05,1909,727,
2024-01-01 10:20:00+05:30,1908.45,1909.05,1908.05,1909.05,1129,
2024-01-01 10:21:00+05:30,1909.1,1909.1,1908.05,1908.3,832,
2024-01-01 10:22:00+05:30,1908,1908.25,1905.8,1906.5,1360,
2024-01-01 10:23:00+05:30,1906.5,1908.1,1906.1,1907,2981,
2024-01-01 10:24:00+05:30,1907,1907,1905.6,1906.1,845,
2024-01-01 10:25:00+05:30,1906.1,1906.55,1906.05,1906.05,1857,
2024-01-01 10:26:00+05:30,1906.7,1907,1906.05,1907,374,
2024-01-01 10:27:00+05:30,1907,1907,1906.45,1906.45,136,
2024-01-01 10:28:00+05:30,1906.45,1907.45,1906.35,1906.55,718,
2024-01-01 10:29:00+05:30,1907.35,1907.35,1906,1906.55,269,
