date,open,high,low,close,volume,oi
2022-01-03 09:15:00+05:30,7420,7499.75,7420,7478,10532,
2022-01-03 09:16:00+05:30,7478,7500,7472.8,7492.1,6778,
2022-01-03 09:17:00+05:30,7488,7494.8,7461.5,7475,6641,
2022-01-03 09:18:00+05:30,7476.95,7480,7465.35,7470,3779,
2022-01-03 09:19:00+05:30,7470,7485.8,7467.25,7476.25,3108,
2022-01-03 09:20:00+05:30,7480,7499.05,7475.7,7496,2524,
2022-01-03 09:21:00+05:30,7495,7504.6,7490.4,7504.6,3607,
2022-01-03 09:22:00+05:30,7504.6,7518.95,7500,7517.15,4168,
2022-01-03 09:23:00+05:30,7515,7533,7512,7529.7,6077,
2022-01-03 09:24:00+05:30,7528,7544.45,7525.2,7537,5811,
2022-01-03 09:25:00+05:30,7537,7547.85,7531.85,7544,6412,
2022-01-03 09:26:00+05:30,7546.75,7575.95,7546.75,7568.05,12110,
2022-01-03 09:27:00+05:30,7574.9,7595.95,7569.3,7592.9,14664,
2022-01-03 09:28:00+05:30,7593.15,7605,7584.2,7588,13823,
2022-01-03 09:29:00+05:30,7588,7595.65,7581,7583.45,6056,
2022-01-03 09:30:00+05:30,7583.45,7587.55,7571.35,7571.35,4933,
2022-01-03 09:31:00+05:30,7570.1,7572.15,7562,7565,5045,
2022-01-03 09:32:00+05:30,7565,7565,7555.3,7561,3763,
2022-01-03 09:33:00+05:30,7560.35,7562.05,7552,7554.7,3132,
2022-01-03 09:34:00+05:30,7552.35,7570,7545,7569.4,5055,
2022-01-03 09:35:00+05:30,7570,7580,7569.95,7570,3752,
2022-01-03 09:36:00+05:30,7570.1,7574,7558,7558,1896,
2022-01-03 09:37:00+05:30,7555,7573.9,7555,7569.25,2031,
2022-01-03 09:38:00+05:30,7569,7572.3,7555,7555.1,1677,
2022-01-03 09:39:00+05:30,7555,7559.2,7550,7551,1712,
2022-01-03 09:40:00+05:30,7546.2,7551.3,7541.2,7543.45,4677,
2022-01-03 09:41:00+05:30,7543.45,7546.75,7529.05,7533,4789,
2022-01-03 09:42:00+05:30,7535,7540,7533,7533.35,3280,
2022-01-03 09:43:00+05:30,7533,7533,7521.75,7529.95,3493,
2022-01-03 09:44:00+05:30,7529.35,7529.6,7516.5,7517.95,4128,
2022-01-03 09:45:00+05:30,7517.95,7529.6,7516,7524,2881,
2022-01-03 09:46:00+05:30,7524,7533,7521,7524,2677,
2022-01-03 09:47:00+05:30,7528.95,7529.5,7521.9,7526,1007,
2022-01-03 09:48:00+05:30,7528.95,7528.95,7522,7526.7,1382,
2022-01-03 09:49:00+05:30,7526.7,7528,7517.2,7527.65,2579,
2022-01-03 09:50:00+05:30,7525,7530,7525,7530,1248,
2022-01-03 09:51:00+05:30,7529,7530,7525,7525,1125,
2022-01-03 09:52:00+05:30,7526.95,7526.95,7521.25,7522.2,893,
2022-01-03 09:53:00+05:30,7522.2,7526,7521,7521.15,997,
2022-01-03 09:54:00+05:30,7524.8,7526,7518,7520,2858,
2022-01-03 09:55:00+05:30,7520,7521.75,7518,7518.1,1494,
2022-01-03 09:56:00+05:30,7520,7520,7514.05,7514.05,1114,
2022-01-03 09:57:00+05:30,7514,7516.6,7510.1,7511,1792,
2022-01-03 09:58:00+05:30,7510.45,7519.4,7510.45,7518.7,924,
2022-01-03 09:59:00+05:30,7518.7,7521.2,7516.75,7516.9,2843,
2022-01-03 10:00:00+05:30,7514,7518.25,7511,7511.1,1109,
2022-01-03 10:01:00+05:30,7514.8,7519.45,7511,7519,985,
2022-01-03 10:02:00+05:30,7519,7520,7515,7518,290,
2022-01-03 10:03:00+05:30,7515.05,7519,7515,7519,379,
2022-01-03 10:04:00+05:30,7519.05,7523.15,7516.55,7520.4,845,
2022-01-03 10:05:00+05:30,7521.85,7522.05,7517.05,7521.85,551,
2022-01-03 10:06:00+05:30,7521.15,7525,7520.5,7524.9,886,
2022-01-03 10:07:00+05:30,7524.9,7524.9,7519.5,7519.5,741,
2022-01-03 10:08:00+05:30,7519,7519,7500,7505.55,9386,
2022-01-03 10:09:00+05:30,7500.5,7519.9,7500.5,7510.9,4275,
2022-01-03 10:10:00+05:30,7510.9,7510.9,7502.2,7504.55,1313,
2022-01-03 10:11:00+05:30,7504.25,7506.55,7500.9,7502.2,2009,
2022-01-03 10:12:00+05:30,7502.2,7505.15,7490.8,7499.65,4137,
2022-01-03 10:13:00+05:30,7498,7500,7495,7499,1023,
2022-01-03 10:14:00+05:30,7499,7500,7496.05,7500,1149,
2022-01-03 10:15:00+05:30,7499.75,7499.75,7492,7494,4822,
2022-01-03 10:16:00+05:30,7494,7494,7493,7494,859,
2022-01-03 10:17:00+05:30,7493,7495.15,7493,7494,751,
2022-01-03 10:18:00+05:30,7494,7495,7493.5,7493.65,1077,
2022-01-03 10:19:00+05:30,7494,7494,7486.1,7488.5,2249,
2022-01-03 10:20:00+05:30,7488.5,7495.15,7488.5,7493.95,3879,
2022-01-03 10:21:00+05:30,7493.95,7507.8,7493.95,7503.25,3644,
2022-01-03 10:22:00+05:30,7503.25,7534.25,7500.9,7527,5775,
2022-01-03 10:23:00+05:30,7526.9,7527.45,7520.35,7520.8,2139,
2022-01-03 10:24:00+05:30,7520.8,7523.9,7515,7515,819,
2022-01-03 10:25:00+05:30,7517.8,7519.9,7515,7516,979,
2022-01-03 10:26:00+05:30,7516,7519,7513.95,7514.05,368,
2022-01-03 10:27:00+05:30,7514.05,7519,7512.1,7514,597,
2022-01-03 10:28:00+05:30,7514,7517.7,7512.8,7517,183,
2022-01-03 10:29:00+05:30,7517,7518.45,7513,7513,382,
2022-01-03 10:30:00+05:30,7513,7516.8,7513,7513.55,174,
2022-01-03 10:31:00+05:30,7513.55,7516,7513.3,7515.8,282,
2022-01-03 10:32:00+05:30,7515.8,7519,7515,7517,324,
2022-01-03 10:33:00+05:30,7517,7519.55,7516.95,7517,299,
2022-01-03 10:34:00+05:30,7519.55,7520,7517,7518.05,153,
2022-01-03 10:35:00+05:30,7518.05,7522.15,7518.05,7519.95,481,
2022-01-03 10:36:00+05:30,7519.95,7525,7519.95,7525,436,
