date,open,high,low,close,volume,oi
2024-01-01 09:15:00+05:30,1332.5,1339.1,1332,1339.1,30580,
2024-01-01 09:16:00+05:30,1337.4,1339.2,1335.4,1336.2,24320,
2024-01-01 09:17:00+05:30,1336.2,1336.8,1335,1335.8,15520,
2024-01-01 09:18:00+05:30,1335.1,1335.8,1334.5,1335.8,20280,
2024-01-01 09:19:00+05:30,1335.8,1336.1,1335.2,1336.1,6720,
2024-01-01 09:20:00+05:30,1336,1336.7,1335.6,1335.8,10080,
2024-01-01 09:21:00+05:30,1335.8,1336,1335.2,1335.7,5180,
2024-01-01 09:22:00+05:30,1336,1337,1335.6,1337,4100,
2024-01-01 09:23:00+05:30,1337,1338.5,1337,1337.5,13000,
2024-01-01 09:24:00+05:30,1338.3,1339.2,1338.3,1338.8,9780,
2024-01-01 09:25:00+05:30,1339,1339.8,1338.5,1339.7,6260,
2024-01-01 09:26:00+05:30,1339.8,1340.9,1339,1340.7,16220,
2024-01-01 09:27:00+05:30,1340.7,1342.8,1340.6,1342.2,14480,
2024-01-01 09:28:00+05:30,1342,1342.2,1340,1340,15220,
2024-01-01 09:29:00+05:30,1340.7,1341,1339.5,1340,20700,
2024-01-01 09:30:00+05:30,1339.4,1340,1337.5,1338.2,9380,
2024-01-01 09:31:00+05:30,1337.8,1339,1337.5,1339,29280,
2024-01-01 09:32:00+05:30,1339.6,1340,1339,1339.9,9040,
2024-01-01 09:33:00+05:30,1339.9,1340,1339,1339.8,5360,
2024-01-01 09:34:00+05:30,1339.8,1340,1339.2,1339.8,4320,
2024-01-01 09:35:00+05:30,1339.8,1339.8,1339,1339.5,4680,
2024-01-01 09:36:00+05:30,1339.6,1339.7,1339,1339.5,6380,
2024-01-01 09:37:00+05:30,1339.5,1340,1339,1339.6,5120,
2024-01-01 09:38:00+05:30,1339.6,1340,1339.4,1340,4840,
2024-01-01 09:39:00+05:30,1340,1340,1339.4,1340,4120,
2024-01-01 09:40:00+05:30,1340,1340,1339.8,1340,9560,
2024-01-01 09:41:00+05:30,1340,1340,1339.8,1340,8840,
2024-01-01 09:42:00+05:30,1339.8,1340,1339.8,1340,17060,
2024-01-01 09:43:00+05:30,1340,1340.2,1339.5,1339.5,8320,
2024-01-01 09:44:00+05:30,1339.5,1340,1339.4,1340,2980,
2024-01-01 09:45:00+05:30,1340,1340,1339.5,1339.5,4020,
2024-01-01 09:46:00+05:30,1340,1340,1339.4,1339.5,3040,
2024-01-01 09:47:00+05:30,1339.5,1340,1339.4,1339.7,4480,
2024-01-01 09:48:00+05:30,1339.7,1339.7,1339.5,1339.5,2200,
2024-01-01 09:49:00+05:30,1339.5,1340,1339.5,1340,3600,
2024-01-01 09:50:00+05:30,1340,1340,1338.8,1339.4,5620,
2024-01-01 09:51:00+05:30,1339.4,1339.5,1339,1339,3580,
2024-01-01 09:52:00+05:30,1339,1339.2,1338.5,1338.6,4640,
2024-01-01 09:53:00+05:30,1338.6,1338.8,1338.5,1338.6,1460,
2024-01-01 09:54:00+05:30,1338.8,1338.8,1338,1338.1,3140,
2024-01-01 09:55:00+05:30,1338,1338.2,1337.5,1338,3960,
2024-01-01 09:56:00+05:30,1338,1338.8,1338,1338.8,4660,
2024-01-01 09:57:00+05:30,1338.8,1339.2,1338,1339.2,2620,
2024-01-01 09:58:00+05:30,1339.2,1339.5,1337,1337,20440,
2024-01-01 09:59:00+05:30,1337.5,1337.5,1336.6,1336.6,6420,
2024-01-01 10:00:00+05:30,1336.5,1337.2,1335.8,1336.4,5500,
2024-01-01 10:01:00+05:30,1336.4,1337.3,1335.8,1337,3300,
2024-01-01 10:02:00+05:30,1337.3,1337.3,1335,1335.2,8940,
2024-01-01 10:03:00+05:30,1335.2,1336.2,1335,1335.2,8260,
2024-01-01 10:04:00+05:30,1335.9,1336.8,1335.2,1336.8,2300,
2024-01-01 10:05:00+05:30,1336.1,1337.3,1336,1337.3,3560,
2024-01-01 10:06:00+05:30,1337.3,1337.4,1336.5,1337.4,2660,
2024-01-01 10:07:00+05:30,1337.4,1337.5,1337,1337.2,4260,
2024-01-01 10:08:00+05:30,1337.2,1337.5,1336.8,1337.5,1840,
2024-01-01 10:09:00+05:30,1337.5,1337.5,1337,1337.5,2420,
2024-01-01 10:10:00+05:30,1337.5,1337.9,1337,1337.5,1980,
2024-01-01 10:11:00+05:30,1337.2,1338,1337.2,1338,2180,
2024-01-01 10:12:00+05:30,1338,1338.7,1337.8,1338.7,2740,
2024-01-01 10:13:00+05:30,1338.7,1340,1338.7,1340,6280,
2024-01-01 10:14:00+05:30,1340,1340,1339,1340,6240,
2024-01-01 10:15:00+05:30,1340,1340,1339.4,1340,6300,
