date,open,high,low,close,volume,oi
2024-01-01 09:15:00+05:30,237.9,238.1,236.4,237.4,31072,
2024-01-01 09:16:00+05:30,237.55,237.9,237.5,237.5,30747,
2024-01-01 09:17:00+05:30,237.4,237.6,236.95,237.25,43495,
2024-01-01 09:18:00+05:30,237.25,237.55,237.15,237.3,72103,
2024-01-01 09:19:00+05:30,237.35,237.35,236.85,237.3,19111,
2024-01-01 09:20:00+05:30,237.25,237.85,237.25,237.65,26877,
2024-01-01 09:21:00+05:30,237.65,237.9,237.6,237.75,21242,
2024-01-01 09:22:00+05:30,237.65,237.75,237.4,237.65,21490,
2024-01-01 09:23:00+05:30,237.8,237.8,237.4,237.55,19140,
2024-01-01 09:24:00+05:30,237.55,237.7,237.4,237.45,8297,
2024-01-01 09:25:00+05:30,237.45,237.9,237.4,237.85,15312,
2024-01-01 09:26:00+05:30,237.75,237.9,237.65,237.9,8977,
2024-01-01 09:27:00+05:30,237.9,238.1,237.85,238.05,9556,
2024-01-01 09:28:00+05:30,238,238.85,238,238.6,38165,
2024-01-01 09:29:00+05:30,238.65,238.75,238.3,238.4,21950,
2024-01-01 09:30:00+05:30,238.4,238.45,238.2,238.4,15370,
2024-01-01 09:31:00+05:30,238.4,238.4,237.9,238.05,13869,
2024-01-01 09:32:00+05:30,238.05,238.1,237.8,238,9307,
2024-01-01 09:33:00+05:30,238,238.35,238,238.15,14077,
2024-01-01 09:34:00+05:30,238.15,238.35,237.9,237.9,13473,
2024-01-01 09:35:00+05:30,237.95,238.2,237.85,237.85,18982,
2024-01-01 09:36:00+05:30,237.85,238.15,237.85,238.05,4971,
2024-01-01 09:37:00+05:30,238.05,238.1,237.5,237.7,68811,
2024-01-01 09:38:00+05:30,237.6,238.1,237.6,237.75,24999,
2024-01-01 09:39:00+05:30,237.9,238.1,237.7,237.75,23156,
2024-01-01 09:40:00+05:30,237.75,238.1,237.7,237.95,15084,
2024-01-01 09:41:00+05:30,237.95,238,237.8,237.9,6638,
2024-01-01 09:42:00+05:30,237.8,237.95,237.65,237.8,5135,
2024-01-01 09:43:00+05:30,237.8,237.8,237.4,237.4,13052,
2024-01-01 09:44:00+05:30,237.25,237.5,237.2,237.45,16638,
2024-01-01 09:45:00+05:30,237.7,237.8,237.5,237.6,14239,
2024-01-01 09:46:00+05:30,237.6,237.75,237.3,237.55,11383,
2024-01-01 09:47:00+05:30,237.65,237.7,237.45,237.65,7221,
2024-01-01 09:48:00+05:30,237.7,237.75,237.55,237.75,10794,
2024-01-01 09:49:00+05:30,237.75,237.85,237.55,237.65,20571,
2024-01-01 09:50:00+05:30,237.6,237.7,237.55,237.7,6425,
2024-01-01 09:51:00+05:30,237.65,237.7,237.55,237.65,5505,
2024-01-01 09:52:00+05:30,237.65,237.75,237.55,237.7,11048,
2024-01-01 09:53:00+05:30,237.7,237.75,237.55,237.75,24180,
2024-01-01 09:54:00+05:30,237.75,237.75,237.45,237.5,10737,
2024-01-01 09:55:00+05:30,237.5,237.75,237.4,237.65,51743,
