date,open,high,low,close,volume,oi
2022-01-03 09:15:00+05:30,462,462.85,461.85,462.45,175038,
2022-01-03 09:16:00+05:30,462.45,463,462.1,462.5,84984,
2022-01-03 09:17:00+05:30,462.5,462.85,462.3,462.45,78843,
2022-01-03 09:18:00+05:30,462.6,462.65,462.2,462.45,38003,
2022-01-03 09:19:00+05:30,462.7,462.95,462.45,462.75,43529,
2022-01-03 09:20:00+05:30,462.85,463,462.35,462.35,44021,
2022-01-03 09:21:00+05:30,462.4,462.4,461.65,461.9,77157,
2022-01-03 09:22:00+05:30,461.8,461.9,461.5,461.7,47908,
2022-01-03 09:23:00+05:30,461.75,461.75,460.5,460.95,95643,
2022-01-03 09:24:00+05:30,461,461.05,460.1,460.4,67860,
2022-01-03 09:25:00+05:30,460.35,461.05,460.2,460.3,66161,
2022-01-03 09:26:00+05:30,460.45,460.95,460.3,460.75,31038,
2022-01-03 09:27:00+05:30,460.75,461.1,460.5,461,43054,
2022-01-03 09:28:00+05:30,460.95,461.5,460.95,461.25,36206,
2022-01-03 09:29:00+05:30,461.4,461.45,461.05,461.3,20429,
2022-01-03 09:30:00+05:30,461.25,461.5,461.2,461.5,30481,
2022-01-03 09:31:00+05:30,461.5,461.5,460.3,461,75746,
2022-01-03 09:32:00+05:30,460.8,461,460.5,460.55,14442,
2022-01-03 09:33:00+05:30,460.4,461,460.2,461,45641,
2022-01-03 09:34:00+05:30,460.9,461.55,460.8,461.4,33825,
2022-01-03 09:35:00+05:30,461.4,461.55,461.25,461.45,28050,
2022-01-03 09:36:00+05:30,461.45,461.75,461.3,461.55,21033,
2022-01-03 09:37:00+05:30,461.6,462,461.5,461.8,26397,
2022-01-03 09:38:00+05:30,461.7,462,461.55,462,41034,
2022-01-03 09:39:00+05:30,462,462.3,461.95,462.25,43781,
2022-01-03 09:40:00+05:30,462.2,462.25,461.85,462,36920,
2022-01-03 09:41:00+05:30,462,462.2,461.9,462.2,13078,
2022-01-03 09:42:00+05:30,462.1,462.25,461.8,462,28240,
2022-01-03 09:43:00+05:30,462.25,462.25,462,462.25,21971,
2022-01-03 09:44:00+05:30,462.3,462.3,462,462,12765,
2022-01-03 09:45:00+05:30,462,462.5,461.8,462.45,37010,
2022-01-03 09:46:00+05:30,462.45,462.9,462.25,462.9,62982,
2022-01-03 09:47:00+05:30,463.3,463.5,462.95,463.3,143196,
2022-01-03 09:48:00+05:30,463.35,463.45,463,463.3,33273,
2022-01-03 09:49:00+05:30,463.35,463.6,463.15,463.4,46710,
2022-01-03 09:50:00+05:30,463.35,464,463.2,464,111869,
2022-01-03 09:51:00+05:30,464,464.2,463.95,464.05,63743,
2022-01-03 09:52:00+05:30,464.05,464.2,463.8,463.85,35285,
2022-01-03 09:53:00+05:30,463.9,464,463.4,464,54378,
2022-01-03 09:54:00+05:30,463.95,464.1,463.55,464.05,51478,
2022-01-03 09:55:00+05:30,464.3,464.35,464,464.2,53255,
2022-01-03 09:56:00+05:30,464.1,464.2,463.55,463.8,31647,
2022-01-03 09:57:00+05:30,463.65,463.85,463.6,463.8,15925,
2022-01-03 09:58:00+05:30,463.8,463.8,463.25,463.25,27682,
2022-01-03 09:59:00+05:30,463.3,463.4,463.15,463.25,22810,
2022-01-03 10:00:00+05:30,463.3,463.55,463.25,463.5,18098,
2022-01-03 10:01:00+05:30,463.5,463.5,463.05,463.35,28216,
2022-01-03 10:02:00+05:30,463.3,463.5,463.05,463.25,32102,
2022-01-03 10:03:00+05:30,463.15,464.3,463.1,464.05,70734,
2022-01-03 10:04:00+05:30,464.2,464.9,463.9,464.65,96075,
2022-01-03 10:05:00+05:30,464.65,464.85,464,464.3,45095,
2022-01-03 10:06:00+05:30,464.35,464.4,464,464,22080,
2022-01-03 10:07:00+05:30,464.05,464.1,463.95,464.05,26384,
2022-01-03 10:08:00+05:30,464,464.2,464,464.15,10807,
2022-01-03 10:09:00+05:30,464.2,464.35,464.15,464.25,10675,
2022-01-03 10:10:00+05:30,464.3,464.4,464,464,58135,
2022-01-03 10:11:00+05:30,464.15,464.5,464.1,464.5,29111,
2022-01-03 10:12:00+05:30,464.5,464.9,464.25,464.85,54078,
2022-01-03 10:13:00+05:30,464.45,464.85,464.45,464.65,43928,
2022-01-03 10:14:00+05:30,464.7,465,464.65,464.85,76354,
2022-01-03 10:15:00+05:30,465,465,464.75,464.75,61076,
2022-01-03 10:16:00+05:30,464.8,464.85,464.3,464.5,22190,
2022-01-03 10:17:00+05:30,464.5,464.7,464.25,464.5,38402,
2022-01-03 10:18:00+05:30,464.4,464.5,464.15,464.45,51173,
2022-01-03 10:19:00+05:30,464.45,464.75,464.2,464.55,30951,
2022-01-03 10:20:00+05:30,464.65,464.75,464.5,464.75,12228,
2022-01-03 10:21:00+05:30,464.7,464.75,464.5,464.75,25635,
2022-01-03 10:22:00+05:30,464.75,465,464.65,464.95,65904,
2022-01-03 10:23:00+05:30,465,465.9,464.95,465.9,219765,
2022-01-03 10:24:00+05:30,465.75,466,465.5,465.7,74301,
2022-01-03 10:25:00+05:30,465.75,465.85,465.65,465.7,39628,
2022-01-03 10:26:00+05:30,465.85,465.9,465.6,465.6,29680,
2022-01-03 10:27:00+05:30,465.7,465.95,465.6,465.65,33848,
2022-01-03 10:28:00+05:30,465.85,465.85,465.6,465.65,26117,
2022-01-03 10:29:00+05:30,465.75,466,465.65,466,35996,
2022-01-03 10:30:00+05:30,465.95,466.2,465.9,466.1,65247,
2022-01-03 10:31:00+05:30,466.1,466.2,465.7,465.7,41438,
2022-01-03 10:32:00+05:30,465.8,466.1,465.6,466,33808,
2022-01-03 10:33:00+05:30,465.95,465.95,465.3,465.4,53848,
2022-01-03 10:34:00+05:30,465.3,465.75,465.3,465.65,20179,
2022-01-03 10:35:00+05:30,465.65,465.9,465.5,465.8,31367,
2022-01-03 10:36:00+05:30,465.8,465.8,465.35,465.35,15647,
2022-01-03 10:37:00+05:30,465.45,465.5,465.3,465.35,18821,
2022-01-03 10:38:00+05:30,465.35,465.45,465.1,465.1,24676,
2022-01-03 10:39:00+05:30,465.25,465.3,465,465.1,57363,
2022-01-03 10:40:00+05:30,465.15,465.45,465.05,465.1,33400,
2022-01-03 10:41:00+05:30,465.2,465.4,465.1,465.2,18249,
2022-01-03 10:42:00+05:30,465.2,465.5,465.15,465.4,29659,
2022-01-03 10:43:00+05:30,465.35,465.7,465.3,465.35,25033,
2022-01-03 10:44:00+05:30,465.45,465.5,465.3,465.4,19142,
2022-01-03 10:45:00+05:30,465.4,465.9,465.35,465.7,23277,
2022-01-03 10:46:00+05:30,465.75,465.75,465.55,465.55,9624,
2022-01-03 10:47:00+05:30,465.55,465.7,465.35,465.5,12829,
2022-01-03 10:48:00+05:30,465.45,465.55,465.3,465.3,11232,
2022-01-03 10:49:00+05:30,465.4,465.5,465.15,465.35,22231,
2022-01-03 10:50:00+05:30,465.35,465.5,465.25,465.45,17067,
2022-01-03 10:51:00+05:30,465.5,465.6,465.25,465.55,27451,
2022-01-03 10:52:00+05:30,465.55,465.75,465.45,465.75,17121,
2022-01-03 10:53:00+05:30,465.65,465.9,465.55,465.65,19798,
2022-01-03 10:54:00+05:30,465.65,465.8,465.4,465.65,16406,
2022-01-03 10:55:00+05:30,465.7,465.95,465.55,465.8,24480,
2022-01-03 10:56:00+05:30,465.95,466.2,465.75,466,77226,
2022-01-03 10:57:00+05:30,466.15,466.4,466,466.4,38871,
2022-01-03 10:58:00+05:30,466.4,466.75,466.3,466.65,84562,
2022-01-03 10:59:00+05:30,466.65,467,466.4,466.95,206947,
2022-01-03 11:00:00+05:30,466.95,467.2,466.65,466.85,107530,
2022-01-03 11:01:00+05:30,466.9,467.15,466.55,466.65,114523,
2022-01-03 11:02:00+05:30,466.55,466.7,466.25,466.4,33315,
2022-01-03 11:03:00+05:30,466.4,466.5,466.4,466.4,25785,
2022-01-03 11:04:00+05:30,466.5,466.6,466.35,466.4,17077,
2022-01-03 11:05:00+05:30,466.35,466.5,466.25,466.45,12935,
2022-01-03 11:06:00+05:30,466.45,466.5,466.25,466.35,14328,
2022-01-03 11:07:00+05:30,466.35,466.45,466.15,466.3,19357,
2022-01-03 11:08:00+05:30,466.3,466.3,466.1,466.1,25271,
2022-01-03 11:09:00+05:30,466.25,466.3,466.05,466.2,22585,
2022-01-03 11:10:00+05:30,466.3,466.4,466.1,466.4,25498,
2022-01-03 11:11:00+05:30,466.4,466.5,466.2,466.35,8948,
2022-01-03 11:12:00+05:30,466.4,466.9,466.35,466.9,36556,
2022-01-03 11:13:00+05:30,466.9,467,466.6,466.85,27646,
2022-01-03 11:14:00+05:30,466.9,467.1,466.7,467.1,34325,
2022-01-03 11:15:00+05:30,467.1,467.1,466.8,466.85,35054,
2022-01-03 11:16:00+05:30,466.85,466.85,466.55,466.75,24906,
2022-01-03 11:17:00+05:30,466.75,466.75,466.5,466.6,13264,
2022-01-03 11:18:00+05:30,466.7,466.9,466.55,466.9,22412,
2022-01-03 11:19:00+05:30,466.9,467.1,466.7,466.9,51249,
2022-01-03 11:20:00+05:30,466.85,467,466.8,466.8,25620,
2022-01-03 11:21:00+05:30,466.75,467,466.7,466.8,15565,
2022-01-03 11:22:00+05:30,466.8,466.9,466.6,466.75,9005,
2022-01-03 11:23:00+05:30,466.75,466.8,466.55,466.75,11449,
2022-01-03 11:24:00+05:30,466.75,467,466.6,466.7,25154,
2022-01-03 11:25:00+05:30,466.75,467,466.55,466.6,20277,
2022-01-03 11:26:00+05:30,466.55,466.6,466.5,466.5,12565,
2022-01-03 11:27:00+05:30,466.5,466.6,466.25,466.5,30869,
2022-01-03 11:28:00+05:30,466.5,466.6,466.25,466.3,9270,
2022-01-03 11:29:00+05:30,466.3,466.6,466.25,466.5,23619,
2022-01-03 11:30:00+05:30,466.4,466.6,466.05,466.05,35129,
2022-01-03 11:31:00+05:30,466.05,466.15,465.25,465.45,98293,
2022-01-03 11:32:00+05:30,465.55,465.9,465.5,465.8,15264,
2022-01-03 11:33:00+05:30,465.7,465.9,465.65,465.85,9383,
2022-01-03 11:34:00+05:30,465.8,466.15,465.65,465.8,17380,
2022-01-03 11:35:00+05:30,465.85,466.15,465.8,466.05,12976,
2022-01-03 11:36:00+05:30,466.1,466.2,466,466,10047,
2022-01-03 11:37:00+05:30,466,466.2,465.8,466.1,21873,
2022-01-03 11:38:00+05:30,466.05,466.2,465.95,466.1,11488,
2022-01-03 11:39:00+05:30,466.1,466.15,466,466.05,13981,
2022-01-03 11:40:00+05:30,466.15,466.5,466.05,466.35,21225,
2022-01-03 11:41:00+05:30,466.45,466.6,466.4,466.5,14365,
2022-01-03 11:42:00+05:30,466.5,466.65,466.4,466.45,8060,
2022-01-03 11:43:00+05:30,466.5,466.6,466.35,466.35,7092,
2022-01-03 11:44:00+05:30,466.4,466.45,466.25,466.25,6747,
2022-01-03 11:45:00+05:30,466.25,466.35,466.1,466.2,8408,
2022-01-03 11:46:00+05:30,466.1,466.35,466,466.3,12529,
2022-01-03 11:47:00+05:30,466.1,466.25,465.65,465.8,18010,
2022-01-03 11:48:00+05:30,466,466,465.7,465.8,10765,
2022-01-03 11:49:00+05:30,465.8,466,465.7,465.9,11406,
2022-01-03 11:50:00+05:30,465.9,466,465.75,465.8,9169,
2022-01-03 11:51:00+05:30,465.85,465.95,465.7,465.75,8396,
2022-01-03 11:52:00+05:30,465.8,465.85,465.6,465.65,11595,
2022-01-03 11:53:00+05:30,465.65,465.85,465.65,465.75,6003,
2022-01-03 11:54:00+05:30,465.65,466,465.6,465.85,16904,
2022-01-03 11:55:00+05:30,465.9,466.05,465.8,466,13032,
2022-01-03 11:56:00+05:30,466,466.15,466,466,12251,
2022-01-03 11:57:00+05:30,466.05,466.1,466,466.05,5654,
2022-01-03 11:58:00+05:30,466.05,466.1,465.9,465.9,13092,
2022-01-03 11:59:00+05:30,466,466.25,465.9,466.25,13761,
2022-01-03 12:00:00+05:30,466.3,466.45,466.05,466.1,10402,
2022-01-03 12:01:00+05:30,466.1,466.25,466,466.1,6730,
