date,open,high,low,close,volume,oi
2025-01-01 09:15:00+05:30,1889.9,1897.15,1888.05,1893.8,9635,
2025-01-01 09:16:00+05:30,1893.1,1899.4,1891.15,1899.25,10601,
2025-01-01 09:17:00+05:30,1898.75,1900,1897.35,1898.1,12492,
2025-01-01 09:18:00+05:30,1899.25,1902.95,1899.1,1901.7,14005,
2025-01-01 09:19:00+05:30,1901.75,1902.2,1899.15,1901.9,9483,
2025-01-01 09:20:00+05:30,1901.1,1902.2,1897.85,1898.15,7060,
2025-01-01 09:21:00+05:30,1898.5,1899.35,1895.7,1896,5179,
2025-01-01 09:22:00+05:30,1896,1899.25,1895,1898.5,4637,
2025-01-01 09:23:00+05:30,1898.3,1899,1896.85,1898.85,4308,
2025-01-01 09:24:00+05:30,1898.85,1898.85,1897.15,1897.6,2407,
2025-01-01 09:25:00+05:30,1897.6,1899.45,1896.7,1898.4,4242,
2025-01-01 09:26:00+05:30,1898.5,1898.7,1895.35,1896.15,5721,
2025-01-01 09:27:00+05:30,1896.05,1896.4,1892.95,1892.95,5123,
2025-01-01 09:28:00+05:30,1893.15,1894.55,1893.15,1894.25,2181,
2025-01-01 09:29:00+05:30,1894.25,1895.15,1893.6,1893.95,1703,
2025-01-01 09:30:00+05:30,1893.95,1896.25,1893.5,1894.4,3166,
2025-01-01 09:31:00+05:30,1894.05,1894.7,1893,1893.6,2489,
2025-01-01 09:32:00+05:30,1893.45,1893.45,1890.9,1891.8,3502,
2025-01-01 09:33:00+05:30,1891.8,1893.9,1891,1892.1,2536,
2025-01-01 09:34:00+05:30,1892.1,1893.25,1890,1890.4,9954,
2025-01-01 09:35:00+05:30,1890.4,1891.15,1889.5,1889.95,5132,
2025-01-01 09:36:00+05:30,1890.5,1891.55,1889.4,1890.5,1404,
2025-01-01 09:37:00+05:30,1890.6,1893,1889.55,1892.85,10379,
2025-01-01 09:38:00+05:30,1893,1894.1,1891.8,1891.8,2865,
2025-01-01 09:39:00+05:30,1891.8,1893.65,1890.9,1892.9,5681,
2025-01-01 09:40:00+05:30,1892.9,1892.9,1888,1888.95,3634,
2025-01-01 09:41:00+05:30,1888.9,1890.75,1888.65,1890.75,3562,
2025-01-01 09:42:00+05:30,1890.55,1891.2,1889.05,1889.3,2882,
2025-01-01 09:43:00+05:30,1889,1889.45,1888.25,1888.35,2621,
2025-01-01 09:44:00+05:30,1889.35,1889.45,1885.5,1887.5,4804,
2025-01-01 09:45:00+05:30,1887,1888.3,1886.15,1888.3,3876,
2025-01-01 09:46:00+05:30,1888.15,1888.15,1884.55,1887,4700,
