date,open,high,low,close,volume,oi
2023-01-02 09:15:00+05:30,108.27,108.27,107.69,107.98,1097002,
2023-01-02 09:16:00+05:30,107.98,108.62,107.93,108.47,963420,
2023-01-02 09:17:00+05:30,108.47,109.06,108.37,108.91,1922254,
2023-01-02 09:18:00+05:30,108.91,109.15,108.86,109.11,989051,
2023-01-02 09:19:00+05:30,109.06,109.45,109.01,109.3,1884521,
2023-01-02 09:20:00+05:30,109.3,109.84,109.3,109.59,1746305,
2023-01-02 09:21:00+05:30,109.5,109.79,109.5,109.59,819857,
2023-01-02 09:22:00+05:30,109.59,109.59,109.35,109.4,637742,
2023-01-02 09:23:00+05:30,109.35,109.55,109.35,109.5,697855,
2023-01-02 09:24:00+05:30,109.55,109.79,109.5,109.5,1030209,
2023-01-02 09:25:00+05:30,109.55,110.13,109.45,110.03,2379892,
2023-01-02 09:26:00+05:30,110.03,110.38,109.99,110.38,1750741,
2023-01-02 09:27:00+05:30,110.33,110.67,110.33,110.57,1220670,
2023-01-02 09:28:00+05:30,110.52,110.67,110.42,110.52,857853,
2023-01-02 09:29:00+05:30,110.52,110.62,110.23,110.23,958070,
2023-01-02 09:30:00+05:30,110.23,110.62,110.23,110.33,860369,
2023-01-02 09:31:00+05:30,110.42,110.82,110.33,110.72,1550913,
2023-01-02 09:32:00+05:30,110.72,110.82,110.57,110.67,993898,
2023-01-02 09:33:00+05:30,110.62,110.72,110.42,110.57,1041974,
2023-01-02 09:34:00+05:30,110.52,110.62,110.42,110.42,486529,
2023-01-02 09:35:00+05:30,110.47,110.52,110.23,110.23,515640,
2023-01-02 09:36:00+05:30,110.28,110.33,110.18,110.23,479667,
2023-01-02 09:37:00+05:30,110.28,110.42,110.23,110.38,355722,
2023-01-02 09:38:00+05:30,110.38,110.42,110.23,110.28,322096,
2023-01-02 09:39:00+05:30,110.23,110.28,109.94,109.99,593327,
2023-01-02 09:40:00+05:30,109.99,110.03,109.74,109.79,887210,
2023-01-02 09:41:00+05:30,109.79,110.03,109.74,109.94,483761,
2023-01-02 09:42:00+05:30,110.03,110.03,109.94,109.99,200584,
2023-01-02 09:43:00+05:30,109.94,110.03,109.74,109.74,306722,
2023-01-02 09:44:00+05:30,109.79,109.89,109.74,109.84,252167,
2023-01-02 09:45:00+05:30,109.94,109.94,109.74,109.74,303256,
2023-01-02 09:46:00+05:30,109.79,109.79,109.55,109.55,557901,
2023-01-02 09:47:00+05:30,109.59,109.84,109.55,109.79,256793,
2023-01-02 09:48:00+05:30,109.74,109.84,109.74,109.74,135618,
2023-01-02 09:49:00+05:30,109.79,109.84,109.79,109.79,173215,
2023-01-02 09:50:00+05:30,109.79,109.84,109.69,109.74,223893,
2023-01-02 09:51:00+05:30,109.74,109.79,109.69,109.69,130028,
2023-01-02 09:52:00+05:30,109.74,109.74,109.64,109.69,112808,
2023-01-02 09:53:00+05:30,109.74,109.74,109.69,109.69,99283,
2023-01-02 09:54:00+05:30,109.74,109.79,109.64,109.79,120033,
2023-01-02 09:55:00+05:30,109.74,109.79,109.69,109.74,122763,
2023-01-02 09:56:00+05:30,109.79,110.18,109.74,110.18,717851,
2023-01-02 09:57:00+05:30,110.18,110.38,110.13,110.33,601428,
2023-01-02 09:58:00+05:30,110.33,110.38,110.23,110.23,265807,
2023-01-02 09:59:00+05:30,110.33,110.33,110.13,110.13,185521,
2023-01-02 10:00:00+05:30,110.18,110.18,109.99,109.99,141125,
2023-01-02 10:01:00+05:30,109.99,110.08,109.94,110.03,111897,
2023-01-02 10:02:00+05:30,110.03,110.08,109.89,109.89,155807,
2023-01-02 10:03:00+05:30,109.94,109.94,109.84,109.89,101634,
2023-01-02 10:04:00+05:30,109.89,110.08,109.84,109.99,223378,
2023-01-02 10:05:00+05:30,110.03,110.13,110.03,110.03,196226,
2023-01-02 10:06:00+05:30,110.08,110.28,110.03,110.28,334276,
2023-01-02 10:07:00+05:30,110.28,110.33,110.23,110.33,313541,
2023-01-02 10:08:00+05:30,110.28,110.47,110.28,110.28,470647,
2023-01-02 10:09:00+05:30,110.33,110.52,110.28,110.52,395785,
2023-01-02 10:10:00+05:30,110.52,110.72,110.52,110.67,925470,
2023-01-02 10:11:00+05:30,110.67,110.82,110.67,110.82,1065951,
2023-01-02 10:12:00+05:30,110.82,110.96,110.82,110.82,2011109,
2023-01-02 10:13:00+05:30,110.82,110.91,110.82,110.86,372184,
2023-01-02 10:14:00+05:30,110.82,111.21,110.82,111.21,1314795,
2023-01-02 10:15:00+05:30,111.16,111.45,111.11,111.35,1803606,
2023-01-02 10:16:00+05:30,111.4,111.45,111.21,111.3,726567,
2023-01-02 10:17:00+05:30,111.3,111.4,111.21,111.3,626268,
2023-01-02 10:18:00+05:30,111.3,111.35,111.21,111.21,394303,
2023-01-02 10:19:00+05:30,111.21,111.26,110.96,111.06,440163,
2023-01-02 10:20:00+05:30,111.01,111.06,110.91,110.91,362326,
2023-01-02 10:21:00+05:30,110.91,110.96,110.67,110.72,432645,
2023-01-02 10:22:00+05:30,110.67,110.77,110.57,110.62,476641,
2023-01-02 10:23:00+05:30,110.62,110.77,110.57,110.77,197828,
2023-01-02 10:24:00+05:30,110.67,111.01,110.67,110.91,357425,
2023-01-02 10:25:00+05:30,110.91,111.11,110.91,110.96,693839,
2023-01-02 10:26:00+05:30,111.01,111.01,110.82,110.86,238051,
2023-01-02 10:27:00+05:30,110.91,110.91,110.82,110.86,178406,
2023-01-02 10:28:00+05:30,110.86,110.86,110.77,110.82,236064,
2023-01-02 10:29:00+05:30,110.82,110.91,110.82,110.86,176042,
2023-01-02 10:30:00+05:30,110.82,110.96,110.82,110.91,134005,
2023-01-02 10:31:00+05:30,110.96,111.11,110.91,111.01,310163,
2023-01-02 10:32:00+05:30,111.06,111.11,111.01,111.06,162221,
2023-01-02 10:33:00+05:30,111.06,111.06,110.82,110.82,187375,
2023-01-02 10:34:00+05:30,110.86,110.86,110.82,110.82,103934,
2023-01-02 10:35:00+05:30,110.82,110.86,110.72,110.77,196437,
2023-01-02 10:36:00+05:30,110.82,110.82,110.72,110.77,111502,
2023-01-02 10:37:00+05:30,110.77,110.91,110.77,110.82,361602,
