date,open,high,low,close,volume
2024-10-03 09:15:00,353.75,361.6,353.75,358.65,502914
2024-10-03 09:16:00,359.2,360.2,358.4,358.5,213866
2024-10-03 09:17:00,358.4,358.7,356.85,357.8,225770
2024-10-03 09:18:00,358.1,358.85,357.6,358.25,127131
2024-10-03 09:19:00,358.25,358.5,357.6,357.6,124828
2024-10-03 09:20:00,357.6,357.95,356.65,356.85,109041
2024-10-03 09:21:00,356.65,357.3,356.15,356.35,124335
2024-10-03 09:22:00,356.35,356.65,355.8,356.6,152875
2024-10-03 09:23:00,356.35,358.35,356.15,358.0,130462
2024-10-03 09:24:00,358.0,358.15,357.15,357.25,72388
2024-10-03 09:25:00,357.25,358.5,357.1,358.3,98739
2024-10-03 09:26:00,358.3,359.5,358.3,359.2,108724
2024-10-03 09:27:00,359.2,359.75,359.0,359.45,63042
2024-10-03 09:28:00,359.6,360.4,359.4,360.0,161710
2024-10-03 09:29:00,360.0,360.3,359.6,359.75,175898
2024-10-03 09:30:00,359.75,359.8,358.5,358.55,112294
2024-10-03 09:31:00,358.55,358.8,357.6,358.0,126777
2024-10-03 09:32:00,358.05,358.05,357.0,357.15,55015
2024-10-03 09:33:00,357.15,358.3,357.15,358.15,100185
2024-10-03 09:34:00,357.6,358.25,357.3,357.3,72647
2024-10-03 09:35:00,357.45,357.45,356.6,357.1,114972
2024-10-03 09:36:00,357.1,357.5,356.75,357.4,66185
2024-10-03 09:37:00,357.5,358.45,357.1,358.45,59628
2024-10-03 09:38:00,358.45,358.8,357.65,357.85,72306
2024-10-03 09:39:00,357.9,358.0,357.55,357.85,63102
2024-10-03 09:40:00,357.75,358.15,357.25,357.95,84815
2024-10-03 09:41:00,357.95,358.0,357.8,357.95,34937
2024-10-03 09:42:00,357.95,357.95,357.45,357.65,31147
2024-10-03 09:43:00,357.65,358.0,357.5,357.85,27883
2024-10-03 09:44:00,357.85,358.0,357.6,357.6,57754
2024-10-03 09:45:00,357.75,358.0,357.4,357.9,38280
2024-10-03 09:46:00,358.0,358.15,357.8,358.0,87028
2024-10-03 09:47:00,357.95,358.0,357.8,357.85,30359
2024-10-03 09:48:00,357.85,357.95,357.35,357.35,22848
2024-10-03 09:49:00,357.5,357.85,357.45,357.6,21856
2024-10-03 09:50:00,357.55,357.9,357.35,357.65,32050
2024-10-03 09:51:00,357.75,357.9,357.5,357.65,20748
2024-10-03 09:52:00,357.65,357.65,357.45,357.45,21566
2024-10-03 09:53:00,357.5,357.7,357.1,357.35,92062
2024-10-03 09:54:00,357.35,357.4,356.7,356.85,41767
2024-10-03 09:55:00,356.85,357.4,356.65,357.25,35701
2024-10-03 09:56:00,357.4,357.95,357.3,357.55,41104
2024-10-03 09:57:00,357.55,357.9,357.2,357.6,37492
2024-10-03 09:58:00,357.6,357.8,357.4,357.6,15269
2024-10-03 09:59:00,357.55,357.6,357.2,357.3,16385
2024-10-03 10:00:00,357.35,357.45,356.85,356.9,39891
2024-10-03 10:01:00,356.9,357.15,356.7,356.8,41633
2024-10-03 10:02:00,356.9,357.0,356.7,356.9,40273
2024-10-03 10:03:00,356.85,356.85,356.2,356.4,86767
2024-10-03 10:04:00,356.25,356.6,356.2,356.45,56512
2024-10-03 10:05:00,356.35,356.45,356.1,356.35,31640
2024-10-03 10:06:00,356.35,356.5,356.25,356.3,20502
2024-10-03 10:07:00,356.25,356.45,356.05,356.45,20537
2024-10-03 10:08:00,356.45,356.45,356.15,356.4,29517
2024-10-03 10:09:00,356.4,356.5,356.1,356.45,16333
2024-10-03 10:10:00,356.45,356.45,355.05,355.2,180896
