date,open,high,low,close,volume
2024-10-03 09:15:00,857.8,863.0,857.4,860.0,1948284
2024-10-03 09:16:00,860.1,862.4,860.1,862.4,482956
2024-10-03 09:17:00,862.5,863.1,862.0,862.7,897318
2024-10-03 09:18:00,862.5,862.7,859.8,859.9,233744
2024-10-03 09:19:00,859.8,859.8,858.0,858.2,117186
2024-10-03 09:20:00,857.5,858.3,856.0,856.0,211070
2024-10-03 09:21:00,856.0,856.5,855.6,855.6,137694
2024-10-03 09:22:00,855.7,855.7,854.5,855.6,245662
2024-10-03 09:23:00,855.1,855.7,855.0,855.0,109256
2024-10-03 09:24:00,855.2,855.2,853.1,853.4,170558
2024-10-03 09:25:00,853.6,854.5,853.3,854.1,105434
2024-10-03 09:26:00,854.2,854.5,853.5,853.5,97284
2024-10-03 09:27:00,853.6,854.5,853.5,854.5,64388
2024-10-03 09:28:00,854.4,855.0,854.0,854.8,82062
2024-10-03 09:29:00,854.9,855.5,854.6,855.3,76180
2024-10-03 09:30:00,855.1,856.3,855.0,855.4,174254
2024-10-03 09:31:00,855.4,856.2,855.2,856.1,76086
2024-10-03 09:32:00,856.2,856.8,856.0,856.6,59218
2024-10-03 09:33:00,856.9,857.9,856.6,857.7,169012
2024-10-03 09:34:00,857.7,857.7,855.8,856.0,100166
2024-10-03 09:35:00,856.0,856.6,855.2,856.4,135334
2024-10-03 09:36:00,856.5,856.6,855.9,856.5,78648
2024-10-03 09:37:00,856.5,856.5,855.5,855.6,42096
2024-10-03 09:38:00,855.9,855.9,854.8,854.8,69618
2024-10-03 09:39:00,855.0,855.1,854.2,854.2,53014
2024-10-03 09:40:00,854.3,855.2,854.0,854.9,67418
2024-10-03 09:41:00,854.6,855.1,854.6,855.0,66066
2024-10-03 09:42:00,855.0,855.4,855.0,855.3,40176
2024-10-03 09:43:00,855.2,855.5,855.2,855.4,28586
2024-10-03 09:44:00,855.3,855.4,854.6,854.6,42484
2024-10-03 09:45:00,854.6,855.2,854.5,855.1,39664
2024-10-03 09:46:00,855.0,855.1,854.0,854.1,58250
2024-10-03 09:47:00,854.1,854.4,854.0,854.2,25512
2024-10-03 09:48:00,854.2,854.2,853.6,853.7,52056
2024-10-03 09:49:00,853.7,854.2,853.5,853.6,117830
2024-10-03 09:50:00,853.6,853.8,853.4,853.5,90530
2024-10-03 09:51:00,853.5,854.0,853.4,853.8,51374
2024-10-03 09:52:00,853.8,854.4,853.6,853.9,58322
2024-10-03 09:53:00,854.0,854.0,853.5,853.6,32468
2024-10-03 09:54:00,853.6,853.8,852.5,852.8,170110
2024-10-03 09:55:00,852.5,852.8,852.5,852.6,64478
2024-10-03 09:56:00,852.6,852.8,852.5,852.7,61868
2024-10-03 09:57:00,852.7,852.8,852.5,852.7,39832
2024-10-03 09:58:00,852.7,852.7,852.2,852.4,35174
2024-10-03 09:59:00,852.4,852.6,852.0,852.1,50088
2024-10-03 10:00:00,852.1,852.3,852.0,852.0,75074
2024-10-03 10:01:00,852.0,852.1,851.5,851.6,79720
2024-10-03 10:02:00,851.6,851.8,851.5,851.5,41648
2024-10-03 10:03:00,851.6,851.8,851.5,851.7,59752
2024-10-03 10:04:00,851.5,851.8,851.2,851.6,104816
2024-10-03 10:05:00,851.6,852.0,851.3,851.6,142032
2024-10-03 10:06:00,851.7,852.1,851.6,851.8,34184
2024-10-03 10:07:00,851.8,852.5,851.8,852.3,43778
2024-10-03 10:08:00,852.3,852.8,852.0,852.8,39776
2024-10-03 10:09:00,852.8,852.8,852.4,852.5,22138
2024-10-03 10:10:00,852.4,852.6,852.3,852.3,32696
2024-10-03 10:11:00,852.4,852.5,852.0,852.0,56534
2024-10-03 10:12:00,852.0,852.0,851.5,851.5,78724
2024-10-03 10:13:00,851.5,851.6,850.8,851.2,188268
2024-10-03 10:14:00,851.4,851.5,851.0,851.4,84686
2024-10-03 10:15:00,851.4,851.8,851.1,851.3,70694
2024-10-03 10:16:00,851.4,851.4,851.0,851.1,29892
2024-10-03 10:17:00,851.1,851.4,850.5,850.5,39998
2024-10-03 10:18:00,850.6,850.6,850.0,850.2,160214
