date,open,high,low,close,volume
2024-10-03 09:15:00,439.85,446.05,439.85,444.4,277876
2024-10-03 09:16:00,443.95,443.95,442.15,442.25,82850
2024-10-03 09:17:00,442.55,442.6,440.95,441.45,144612
2024-10-03 09:18:00,441.45,441.65,440.9,441.6,85813
2024-10-03 09:19:00,441.3,442.25,441.1,442.05,86440
2024-10-03 09:20:00,442.0,443.15,442.0,442.85,86686
2024-10-03 09:21:00,442.55,442.85,442.05,442.3,43095
2024-10-03 09:22:00,442.25,442.6,441.95,442.55,127944
2024-10-03 09:23:00,442.5,443.4,442.45,442.85,108017
2024-10-03 09:24:00,442.85,442.95,442.55,442.85,99506
2024-10-03 09:25:00,442.85,443.1,442.85,442.9,72182
2024-10-03 09:26:00,442.9,443.1,442.85,442.85,32019
2024-10-03 09:27:00,442.85,443.6,442.85,443.6,36505
2024-10-03 09:28:00,443.6,444.05,443.25,444.0,47086
2024-10-03 09:29:00,444.0,444.15,443.6,443.8,41061
2024-10-03 09:30:00,443.7,443.9,443.7,443.75,11438
2024-10-03 09:31:00,443.75,444.75,443.75,444.25,29214
2024-10-03 09:32:00,444.45,444.75,444.2,444.7,21904
2024-10-03 09:33:00,444.7,445.1,444.65,444.95,34485
2024-10-03 09:34:00,445.0,445.0,444.55,444.55,20992
2024-10-03 09:35:00,444.7,445.4,444.55,445.4,74990
2024-10-03 09:36:00,445.4,445.75,445.3,445.75,60868
2024-10-03 09:37:00,445.65,445.85,445.45,445.55,52948
2024-10-03 09:38:00,445.55,445.65,445.15,445.35,13510
2024-10-03 09:39:00,445.4,445.45,445.05,445.35,18271
2024-10-03 09:40:00,445.35,445.75,445.3,445.6,24606
2024-10-03 09:41:00,445.65,445.7,445.15,445.55,13146
2024-10-03 09:42:00,445.65,445.9,445.45,445.6,23661
2024-10-03 09:43:00,445.6,445.8,445.4,445.75,11261
2024-10-03 09:44:00,445.65,445.8,445.1,445.15,24010
2024-10-03 09:45:00,445.15,445.55,445.0,445.15,35781
2024-10-03 09:46:00,445.15,445.15,444.55,444.65,33486
2024-10-03 09:47:00,444.6,444.75,444.55,444.7,19140
2024-10-03 09:48:00,444.7,444.75,444.45,444.5,67686
2024-10-03 09:49:00,444.45,444.75,444.45,444.6,23997
2024-10-03 09:50:00,444.6,444.85,444.45,444.75,32307
2024-10-03 09:51:00,444.85,445.1,444.8,445.1,9417
2024-10-03 09:52:00,445.1,445.1,444.65,444.65,9660
2024-10-03 09:53:00,444.75,444.85,444.55,444.7,14433
2024-10-03 09:54:00,444.55,444.7,444.45,444.45,7459
2024-10-03 09:55:00,444.55,444.6,444.2,444.35,93434
