date,open,high,low,close,volume
2024-10-03 09:15:00,432.0,438.45,432.0,436.6,351764
2024-10-03 09:16:00,437.05,438.2,437.0,437.95,174408
2024-10-03 09:17:00,437.95,438.65,437.7,438.3,85933
2024-10-03 09:18:00,438.25,438.45,437.5,437.6,65292
2024-10-03 09:19:00,437.5,437.8,437.25,437.65,63209
2024-10-03 09:20:00,437.65,438.25,437.45,438.05,86128
2024-10-03 09:21:00,438.15,438.15,437.25,437.55,45580
2024-10-03 09:22:00,437.3,438.2,437.15,438.2,51856
2024-10-03 09:23:00,438.05,439.7,438.05,439.35,68621
2024-10-03 09:24:00,439.3,439.95,439.1,439.85,42225
2024-10-03 09:25:00,439.8,440.6,439.35,439.35,94004
2024-10-03 09:26:00,439.45,440.1,439.35,439.9,49081
2024-10-03 09:27:00,439.9,440.5,439.8,440.5,37946
2024-10-03 09:28:00,440.5,441.05,440.35,440.95,44355
2024-10-03 09:29:00,440.95,440.95,439.95,440.05,81012
2024-10-03 09:30:00,440.05,440.75,440.05,440.65,29443
2024-10-03 09:31:00,440.65,441.55,440.65,441.15,60895
2024-10-03 09:32:00,441.15,441.25,440.45,440.6,63411
2024-10-03 09:33:00,440.6,441.8,440.6,441.55,41676
2024-10-03 09:34:00,441.6,441.9,441.35,441.65,67933
2024-10-03 09:35:00,441.65,441.85,441.4,441.8,24626
2024-10-03 09:36:00,441.8,442.5,441.5,442.0,108828
2024-10-03 09:37:00,442.0,442.0,441.35,441.5,35832
2024-10-03 09:38:00,441.5,442.3,441.4,441.6,42452
2024-10-03 09:39:00,441.65,442.0,441.45,441.95,25937
2024-10-03 09:40:00,441.95,442.45,441.7,442.05,37716
2024-10-03 09:41:00,442.35,442.5,442.1,442.3,46511
2024-10-03 09:42:00,442.3,442.3,441.75,441.95,26579
2024-10-03 09:43:00,441.9,442.0,441.7,441.95,18681
2024-10-03 09:44:00,441.95,442.15,441.25,441.3,36940
2024-10-03 09:45:00,441.3,441.5,440.75,441.5,55221
2024-10-03 09:46:00,441.45,441.7,441.15,441.45,75185
2024-10-03 09:47:00,441.3,441.55,441.3,441.5,18259
2024-10-03 09:48:00,441.5,441.55,441.0,441.0,35952
