date,open,high,low,close,volume
2024-10-03 09:15:00,939.0,946.8,937.3,942.0,773086
2024-10-03 09:16:00,942.5,946.8,940.65,946.8,368270
2024-10-03 09:17:00,946.0,946.45,943.4,943.85,193966
2024-10-03 09:18:00,943.8,946.45,943.4,946.4,466837
2024-10-03 09:19:00,946.05,947.0,945.35,946.8,202287
2024-10-03 09:20:00,946.8,949.0,946.1,949.0,133765
2024-10-03 09:21:00,949.0,949.65,946.95,947.25,131736
2024-10-03 09:22:00,947.3,947.9,945.0,947.3,139959
2024-10-03 09:23:00,947.25,949.9,947.25,949.8,96522
2024-10-03 09:24:00,949.5,950.15,948.0,948.3,112880
2024-10-03 09:25:00,948.25,948.3,946.5,946.6,64538
2024-10-03 09:26:00,946.95,948.4,946.5,947.05,83854
2024-10-03 09:27:00,947.0,947.1,945.8,946.5,87237
2024-10-03 09:28:00,946.5,946.95,945.65,946.9,88222
2024-10-03 09:29:00,946.85,947.8,946.0,946.1,89652
2024-10-03 09:30:00,946.1,946.45,943.2,943.35,183810
2024-10-03 09:31:00,943.4,944.55,943.0,944.35,86730
2024-10-03 09:32:00,944.15,944.15,942.5,943.2,160443
2024-10-03 09:33:00,943.0,943.65,942.55,942.55,157264
2024-10-03 09:34:00,942.25,942.65,941.6,942.35,104228
2024-10-03 09:35:00,942.25,943.8,942.05,943.4,130174
2024-10-03 09:36:00,943.65,944.5,942.85,944.45,121925
2024-10-03 09:37:00,944.3,944.9,943.0,943.55,402148
2024-10-03 09:38:00,943.65,944.65,943.5,944.65,57430
2024-10-03 09:39:00,944.65,946.2,944.5,945.45,80882
2024-10-03 09:40:00,945.45,946.1,944.85,946.05,60364
2024-10-03 09:41:00,946.0,946.25,945.0,945.45,49896
2024-10-03 09:42:00,945.8,945.9,945.5,945.8,31520
2024-10-03 09:43:00,945.8,947.35,945.7,947.2,57246
2024-10-03 09:44:00,947.2,947.3,945.75,946.2,207021
2024-10-03 09:45:00,946.2,946.4,945.05,945.7,60520
2024-10-03 09:46:00,945.7,946.25,945.4,945.85,38232
2024-10-03 09:47:00,945.9,946.35,945.5,946.3,41920
2024-10-03 09:48:00,946.3,946.45,945.65,946.1,50961
2024-10-03 09:49:00,946.0,946.2,945.7,946.05,41927
2024-10-03 09:50:00,946.1,947.0,946.0,946.8,51418
2024-10-03 09:51:00,946.75,947.45,946.7,947.05,61660
2024-10-03 09:52:00,947.05,947.25,946.6,946.9,38486
2024-10-03 09:53:00,946.95,947.0,946.35,946.5,57254
2024-10-03 09:54:00,946.55,946.6,945.1,945.5,51227
2024-10-03 09:55:00,945.2,945.55,944.55,945.0,85293
2024-10-03 09:56:00,945.1,945.5,944.5,945.4,51282
2024-10-03 09:57:00,945.35,945.75,945.2,945.6,27222
2024-10-03 09:58:00,945.6,945.75,945.55,945.75,17978
2024-10-03 09:59:00,945.75,946.55,945.55,946.1,64866
2024-10-03 10:00:00,946.15,946.6,945.7,946.05,70800
2024-10-03 10:01:00,946.35,946.55,945.6,945.7,61535
2024-10-03 10:02:00,945.7,946.15,945.5,945.85,77867
2024-10-03 10:03:00,945.85,946.05,945.5,945.65,25853
2024-10-03 10:04:00,945.65,945.75,945.4,945.55,46154
2024-10-03 10:05:00,945.55,946.05,945.3,946.0,73398
2024-10-03 10:06:00,946.0,946.05,945.4,945.4,28381
2024-10-03 10:07:00,945.4,945.5,944.6,945.0,61997
2024-10-03 10:08:00,945.0,946.0,944.95,945.9,30096
2024-10-03 10:09:00,946.0,946.0,945.25,945.45,22886
2024-10-03 10:10:00,945.45,945.45,943.4,943.9,84030
2024-10-03 10:11:00,943.85,944.0,943.1,943.85,38900
2024-10-03 10:12:00,944.0,944.0,943.15,943.25,40904
2024-10-03 10:13:00,943.4,944.45,943.3,944.35,36744
2024-10-03 10:14:00,943.9,944.7,943.75,944.0,44668
2024-10-03 10:15:00,944.0,944.0,942.6,942.7,62777
2024-10-03 10:16:00,942.7,942.75,940.6,941.25,158404
2024-10-03 10:17:00,941.5,941.85,941.0,941.05,56763
2024-10-03 10:18:00,941.1,941.5,940.25,941.5,56923
2024-10-03 10:19:00,941.25,942.1,941.0,942.05,24489
2024-10-03 10:20:00,942.1,942.1,941.3,941.45,38655
2024-10-03 10:21:00,941.35,941.5,940.8,941.5,51164
2024-10-03 10:22:00,941.45,941.95,941.05,941.15,28803
2024-10-03 10:23:00,941.3,941.5,940.5,940.95,34889
2024-10-03 10:24:00,940.95,941.75,940.95,941.6,27290
2024-10-03 10:25:00,941.65,942.5,941.5,942.45,19666
2024-10-03 10:26:00,942.5,942.5,942.0,942.5,21658
2024-10-03 10:27:00,942.5,942.9,942.15,942.6,17840
2024-10-03 10:28:00,942.6,942.7,942.15,942.45,25758
2024-10-03 10:29:00,942.6,942.65,942.2,942.4,19924
2024-10-03 10:30:00,942.35,942.45,941.9,942.0,37012
2024-10-03 10:31:00,942.0,942.4,941.8,942.3,17896
2024-10-03 10:32:00,942.2,943.0,942.2,942.55,27949
2024-10-03 10:33:00,942.55,942.75,942.1,942.75,34785
2024-10-03 10:34:00,942.75,942.75,942.2,942.4,13442
2024-10-03 10:35:00,942.55,942.55,941.95,942.3,41631
2024-10-03 10:36:00,942.05,942.3,941.5,941.9,32141
2024-10-03 10:37:00,941.6,941.85,941.55,941.75,23763
2024-10-03 10:38:00,941.75,941.8,941.35,941.45,23527
2024-10-03 10:39:00,941.45,941.95,941.2,941.95,21247
2024-10-03 10:40:00,941.95,941.95,941.35,941.55,20718
2024-10-03 10:41:00,941.55,941.8,941.15,941.2,26201
2024-10-03 10:42:00,941.2,941.35,940.25,940.35,76939
2024-10-03 10:43:00,940.3,940.8,940.25,940.75,23092
2024-10-03 10:44:00,940.75,941.3,939.45,940.15,319779
2024-10-03 10:45:00,940.1,940.25,939.45,939.55,39089
2024-10-03 10:46:00,939.55,940.0,939.05,939.35,49522
2024-10-03 10:47:00,939.55,940.3,939.55,940.3,33606
2024-10-03 10:48:00,940.3,940.3,940.0,940.1,24477
2024-10-03 10:49:00,940.05,940.1,939.0,939.1,94673
2024-10-03 10:50:00,939.1,939.2,938.25,938.45,85390
2024-10-03 10:51:00,938.45,938.95,938.4,938.95,36932
2024-10-03 10:52:00,938.95,939.1,938.2,938.25,37640
2024-10-03 10:53:00,938.25,938.4,938.2,938.35,30514
2024-10-03 10:54:00,938.35,938.6,938.2,938.55,30071
2024-10-03 10:55:00,938.6,939.35,938.6,939.15,28946
2024-10-03 10:56:00,939.15,939.45,939.1,939.45,21228
2024-10-03 10:57:00,939.45,940.0,939.4,939.65,24806
2024-10-03 10:58:00,939.65,939.65,939.0,939.25,30576
2024-10-03 10:59:00,939.25,939.3,939.0,939.0,18672
2024-10-03 11:00:00,939.0,939.05,938.0,938.0,43240
2024-10-03 11:01:00,938.05,938.2,938.0,938.05,33042
2024-10-03 11:02:00,938.1,938.1,937.3,937.6,95329
2024-10-03 11:03:00,937.6,937.85,937.5,937.8,18858
2024-10-03 11:04:00,937.8,937.95,937.55,937.7,34077
2024-10-03 11:05:00,937.7,938.5,937.5,938.15,39370
2024-10-03 11:06:00,938.35,938.7,938.0,938.35,31813
2024-10-03 11:07:00,938.35,938.5,938.2,938.25,21828
2024-10-03 11:08:00,938.25,938.25,938.0,938.0,26418
2024-10-03 11:09:00,938.1,938.1,937.75,937.9,36601
2024-10-03 11:10:00,937.95,937.95,937.5,937.55,28793
2024-10-03 11:11:00,937.55,937.6,936.5,936.55,106877
2024-10-03 11:12:00,936.6,936.75,936.4,936.5,48240
2024-10-03 11:13:00,936.55,936.55,936.0,936.1,53375
2024-10-03 11:14:00,936.05,936.1,935.5,935.5,59773
2024-10-03 11:15:00,935.8,935.8,935.05,935.15,64482
2024-10-03 11:16:00,935.15,935.15,935.0,935.1,96911
2024-10-03 11:17:00,935.1,935.15,935.0,935.1,50568
2024-10-03 11:18:00,935.0,936.0,935.0,935.65,54737
2024-10-03 11:19:00,935.75,935.8,935.0,935.1,57015
2024-10-03 11:20:00,935.2,935.35,935.05,935.05,27785
2024-10-03 11:21:00,935.05,935.75,935.0,935.2,37482
2024-10-03 11:22:00,935.2,935.35,934.15,934.55,99392
2024-10-03 11:23:00,934.15,934.4,933.75,933.8,54003
2024-10-03 11:24:00,933.8,934.0,933.25,933.3,65145
2024-10-03 11:25:00,933.35,934.35,933.3,934.35,59985
2024-10-03 11:26:00,934.1,934.45,933.7,934.0,51655
2024-10-03 11:27:00,934.15,935.4,934.1,935.2,57167
2024-10-03 11:28:00,935.35,936.0,934.4,934.75,52668
2024-10-03 11:29:00,934.7,935.0,934.3,935.0,26650
