date,open,high,low,close,volume
2024-10-03 09:15:00,161.73,163.37,160.77,163.3,1565161
2024-10-03 09:16:00,163.29,163.87,163.29,163.42,1201382
2024-10-03 09:17:00,163.45,163.66,163.19,163.26,568147
2024-10-03 09:18:00,163.2,163.61,162.95,163.58,1280455
2024-10-03 09:19:00,163.47,163.6,163.19,163.26,420432
2024-10-03 09:20:00,163.19,163.36,163.06,163.27,595876
2024-10-03 09:21:00,163.21,163.44,163.19,163.31,752057
2024-10-03 09:22:00,163.29,163.49,163.19,163.47,355550
2024-10-03 09:23:00,163.48,163.91,163.39,163.78,564157
2024-10-03 09:24:00,163.75,164.07,163.68,164.01,333103
2024-10-03 09:25:00,163.98,164.99,163.93,164.85,1422769
2024-10-03 09:26:00,164.92,165.39,164.91,165.15,1655268
2024-10-03 09:27:00,165.15,165.3,165.15,165.23,535725
2024-10-03 09:28:00,165.29,165.58,165.15,165.32,1771829
2024-10-03 09:29:00,165.41,165.74,165.3,165.64,1856705
2024-10-03 09:30:00,165.64,165.79,165.35,165.4,1003476
2024-10-03 09:31:00,165.37,165.48,165.2,165.34,648689
2024-10-03 09:32:00,165.31,165.4,165.01,165.4,680052
2024-10-03 09:33:00,165.39,165.83,165.39,165.67,719585
2024-10-03 09:34:00,165.67,165.67,165.3,165.3,275064
2024-10-03 09:35:00,165.3,165.75,165.3,165.67,588261
2024-10-03 09:36:00,165.74,165.74,165.44,165.48,298277
2024-10-03 09:37:00,165.48,165.54,165.16,165.26,348533
2024-10-03 09:38:00,165.28,165.33,165.2,165.21,206513
2024-10-03 09:39:00,165.21,165.41,165.02,165.06,490797
2024-10-03 09:40:00,165.09,165.23,165.0,165.2,208722
2024-10-03 09:41:00,165.17,165.2,164.91,164.95,261070
2024-10-03 09:42:00,164.86,165.13,164.82,164.93,277890
2024-10-03 09:43:00,165.01,165.05,164.66,164.66,237394
2024-10-03 09:44:00,164.71,164.89,164.56,164.63,537853
2024-10-03 09:45:00,164.62,164.63,164.46,164.58,254726
2024-10-03 09:46:00,164.58,164.74,164.46,164.72,251079
2024-10-03 09:47:00,164.66,164.95,164.66,164.87,204458
2024-10-03 09:48:00,164.87,164.9,164.65,164.84,368860
2024-10-03 09:49:00,164.84,164.9,164.75,164.8,124146
2024-10-03 09:50:00,164.69,164.8,164.51,164.52,311569
2024-10-03 09:51:00,164.52,164.66,164.5,164.52,138385
2024-10-03 09:52:00,164.53,164.66,164.51,164.61,162916
2024-10-03 09:53:00,164.61,164.66,164.54,164.58,126051
2024-10-03 09:54:00,164.58,164.63,164.41,164.45,220135
2024-10-03 09:55:00,164.45,164.84,164.41,164.84,242434
2024-10-03 09:56:00,164.84,164.95,164.75,164.87,238966
2024-10-03 09:57:00,164.86,164.95,164.77,164.92,183621
2024-10-03 09:58:00,164.95,164.98,164.76,164.86,153886
2024-10-03 09:59:00,164.86,164.86,164.64,164.71,138221
2024-10-03 10:00:00,164.71,164.71,164.49,164.61,92983
2024-10-03 10:01:00,164.64,164.74,164.5,164.5,139512
2024-10-03 10:02:00,164.56,164.58,164.46,164.58,95886
2024-10-03 10:03:00,164.55,164.62,164.37,164.45,212085
2024-10-03 10:04:00,164.46,164.56,164.42,164.55,200030
2024-10-03 10:05:00,164.55,164.56,164.42,164.53,82783
2024-10-03 10:06:00,164.5,164.51,164.27,164.35,182749
2024-10-03 10:07:00,164.35,164.55,164.27,164.55,131585
2024-10-03 10:08:00,164.49,164.62,164.46,164.61,122220
2024-10-03 10:09:00,164.61,164.64,164.46,164.51,67202
2024-10-03 10:10:00,164.48,164.57,164.42,164.42,79737
2024-10-03 10:11:00,164.38,164.44,164.27,164.34,116286
2024-10-03 10:12:00,164.34,164.34,164.08,164.17,379621
2024-10-03 10:13:00,164.17,164.26,164.07,164.08,172381
2024-10-03 10:14:00,164.09,164.09,163.98,164.04,474588
2024-10-03 10:15:00,163.99,164.02,163.88,163.93,109391
2024-10-03 10:16:00,163.93,163.97,163.78,163.86,141431
2024-10-03 10:17:00,163.87,163.98,163.78,163.85,206707
2024-10-03 10:18:00,163.85,163.91,163.69,163.85,205717
2024-10-03 10:19:00,163.85,164.07,163.83,164.06,121155
2024-10-03 10:20:00,164.03,164.16,164.03,164.13,117680
2024-10-03 10:21:00,164.13,164.17,164.05,164.17,108374
2024-10-03 10:22:00,164.14,164.37,164.12,164.33,184714
2024-10-03 10:23:00,164.33,164.4,164.19,164.33,146256
2024-10-03 10:24:00,164.33,164.35,164.27,164.32,60484
2024-10-03 10:25:00,164.33,164.46,164.27,164.43,129407
2024-10-03 10:26:00,164.46,164.46,164.32,164.37,90169
2024-10-03 10:27:00,164.42,164.47,164.38,164.44,76530
2024-10-03 10:28:00,164.44,164.86,164.44,164.76,315680
2024-10-03 10:29:00,164.76,164.95,164.76,164.94,248234
2024-10-03 10:30:00,164.95,165.56,164.95,165.55,1201173
2024-10-03 10:31:00,165.53,165.55,165.39,165.48,255225
2024-10-03 10:32:00,165.42,165.58,165.37,165.58,336642
2024-10-03 10:33:00,165.61,165.88,165.61,165.81,955548
2024-10-03 10:34:00,165.81,166.12,165.81,166.0,701067
2024-10-03 10:35:00,166.0,166.05,165.65,165.69,369579
2024-10-03 10:36:00,165.65,165.71,165.44,165.52,240788
2024-10-03 10:37:00,165.52,165.56,165.32,165.37,155054
2024-10-03 10:38:00,165.37,165.42,165.15,165.22,250960
2024-10-03 10:39:00,165.21,165.25,165.15,165.22,141682
2024-10-03 10:40:00,165.16,165.32,165.15,165.19,155019
2024-10-03 10:41:00,165.2,165.24,164.95,165.03,156689
2024-10-03 10:42:00,165.01,165.04,164.86,165.02,182113
2024-10-03 10:43:00,165.02,165.02,164.9,164.97,74445
2024-10-03 10:44:00,164.95,164.98,164.77,164.81,84699
2024-10-03 10:45:00,164.81,164.98,164.76,164.92,109529
2024-10-03 10:46:00,164.91,165.28,164.91,165.14,231269
2024-10-03 10:47:00,165.14,165.15,164.96,165.02,102673
2024-10-03 10:48:00,164.96,165.21,164.96,165.11,71567
2024-10-03 10:49:00,165.11,165.14,164.95,165.05,72284
2024-10-03 10:50:00,165.06,165.11,164.97,164.98,53836
2024-10-03 10:51:00,164.98,165.11,164.89,165.04,104256
2024-10-03 10:52:00,165.01,165.04,164.87,164.9,81575
2024-10-03 10:53:00,164.92,165.04,164.89,165.04,77002
2024-10-03 10:54:00,164.98,165.02,164.95,164.99,36517
2024-10-03 10:55:00,164.99,165.38,164.99,165.38,184632
2024-10-03 10:56:00,165.37,165.49,165.24,165.3,139632
2024-10-03 10:57:00,165.28,165.33,165.2,165.29,86096
2024-10-03 10:58:00,165.29,165.3,165.15,165.19,206150
2024-10-03 10:59:00,165.21,165.22,165.06,165.14,54729
2024-10-03 11:00:00,165.07,165.25,165.05,165.22,106994
2024-10-03 11:01:00,165.24,165.27,165.06,165.12,99234
